route_id,shape_pt_lat,shape_pt_lon
1,43.676851,-79.794655,0
1,43.677647,-79.793486,0
1,43.677739,-79.793297,0
1,43.677824,-79.793024,0
1,43.677857,-79.792888,0
1,43.677899,-79.792711,0
1,43.678084,-79.791734,0
1,43.678095,-79.791547,0
1,43.678087,-79.791325,0
1,43.678049,-79.791032,0
1,43.678003,-79.790814,0
1,43.678000,-79.790802,0
1,43.677524,-79.789856,0
1,43.677393,-79.789650,0
1,43.677113,-79.789182,0
1,43.676909,-79.788839,0
1,43.676652,-79.788435,0
1,43.676484,-79.788277,0
1,43.676313,-79.788156,0
1,43.675829,-79.787894,0
1,43.675687,-79.787818,0
1,43.675979,-79.786773,0
1,43.676075,-79.786569,0
1,43.676317,-79.786220,0
1,43.676567,-79.785957,0
1,43.676752,-79.785762,0
1,43.677030,-79.785394,0
1,43.677778,-79.784366,0
1,43.677879,-79.784227,0
1,43.678122,-79.783891,0
1,43.678452,-79.783528,0
1,43.679020,-79.782902,0
1,43.679285,-79.782604,0
1,43.679580,-79.782272,0
1,43.680141,-79.781619,0
1,43.680726,-79.780983,0
1,43.680898,-79.780788,0
1,43.681275,-79.780357,0
1,43.681900,-79.779687,0
1,43.682192,-79.779341,0
1,43.682370,-79.779131,0
1,43.681396,-79.777817,0
1,43.680920,-79.777176,0
1,43.680138,-79.776125,0
1,43.679824,-79.775702,0
1,43.678627,-79.774083,0
1,43.678582,-79.774022,0
1,43.678010,-79.773241,0
1,43.677797,-79.772950,0
1,43.677682,-79.772791,0
1,43.677365,-79.772367,0
1,43.677023,-79.771895,0
1,43.676130,-79.770660,0
1,43.674675,-79.768681,0
1,43.674442,-79.768363,0
1,43.674239,-79.768087,0
1,43.673366,-79.769288,0
1,43.672914,-79.768778,0
1,43.672681,-79.769115,0
1,43.671433,-79.770898,0
1,43.671184,-79.770484,0
1,43.671165,-79.770442,0
1,43.671152,-79.770398,0
1,43.671148,-79.770351,0
1,43.671167,-79.770244,0
1,43.671194,-79.770195,0
1,43.671229,-79.770142,0
1,43.671412,-79.769897,0
1,43.672465,-79.768484,0
1,43.672494,-79.768456,0
1,43.672520,-79.768438,0
1,43.672547,-79.768423,0
1,43.672573,-79.768421,0
1,43.672600,-79.768428,0
1,43.672621,-79.768441,0
1,43.672649,-79.768469,0
1,43.674645,-79.768639,0
1,43.675774,-79.770176,0
1,43.677789,-79.768854,0
1,43.677894,-79.768739,0
1,43.679071,-79.767452,0
1,43.679098,-79.767425,0
1,43.679302,-79.767202,0
1,43.680970,-79.765364,0
1,43.681778,-79.764469,0
1,43.682392,-79.763800,0
1,43.682594,-79.763576,0
1,43.682953,-79.763180,0
1,43.683033,-79.763092,0
1,43.683408,-79.762676,0
1,43.683928,-79.762121,0
1,43.684054,-79.761986,0
1,43.684243,-79.761775,0
1,43.685045,-79.760863,0
1,43.685453,-79.761451,0
1,43.685728,-79.761822,0
1,43.686292,-79.762584,0
1,43.686645,-79.762192,0
1,43.686885,-79.762536,0
1,43.686899,-79.762569,0
1,43.686907,-79.762609,0
1,43.686903,-79.762639,0
1,43.686889,-79.762685,0
1,43.686859,-79.762738,0
1,43.686702,-79.762946,0
1,43.686631,-79.763040,0
1,43.686802,-79.762017,0
1,43.686975,-79.761836,0
1,43.687155,-79.761647,0
1,43.687247,-79.761465,0
1,43.687291,-79.761350,0
1,43.687329,-79.761239,0
1,43.687406,-79.760782,0
1,43.687476,-79.760377,0
1,43.687517,-79.760119,0
1,43.687519,-79.759883,0
1,43.687477,-79.759632,0
1,43.687400,-79.759430,0
1,43.687333,-79.759286,0
1,43.687035,-79.758700,0
1,43.687357,-79.758349,0
1,43.687459,-79.758237,0
1,43.688304,-79.757313,0
1,43.688540,-79.757056,0
1,43.689195,-79.756339,0
1,43.689315,-79.756208,0
1,43.689604,-79.755896,0
1,43.690296,-79.755151,0
1,43.690777,-79.754762,0
1,43.691022,-79.754565,0
1,43.691048,-79.754536,0
1,43.691819,-79.753678,0
1,43.692061,-79.753409,0
1,43.692764,-79.752661,0
1,43.692837,-79.752582,0
1,43.693532,-79.751821,0
1,43.693722,-79.751611,0
1,43.694040,-79.751259,0
1,43.694639,-79.750602,0
1,43.695410,-79.749760,0
1,43.695633,-79.749485,0
1,43.696055,-79.749011,0
1,43.697382,-79.747520,0
1,43.698853,-79.745869,0
1,43.699122,-79.745561,0
1,43.699975,-79.744587,0
1,43.700653,-79.743811,0
1,43.701566,-79.742821,0
1,43.701810,-79.742557,0
1,43.703285,-79.740883,0
1,43.703556,-79.740576,0
1,43.704506,-79.739522,0
1,43.705220,-79.738732,0
1,43.705404,-79.738525,0
1,43.705433,-79.738491,0
1,43.705712,-79.738177,0
1,43.705891,-79.737976,0
1,43.706674,-79.737097,0
1,43.708217,-79.735395,0
1,43.709038,-79.734469,0
1,43.708183,-79.733172,0
1,43.707940,-79.732805,0
1,43.707408,-79.732025,0
1,43.704347,-79.727514,0
1,43.704767,-79.727049,0
1,43.706019,-79.725667,0
1,43.706507,-79.725158,0
1,43.706633,-79.725028,0
1,43.706912,-79.724845,0
1,43.707133,-79.724745,0
1,43.707277,-79.724684,0
1,43.707516,-79.724640,0
1,43.707832,-79.724595,0
1,43.708894,-79.724385,0
1,43.709260,-79.724184,0
1,43.709509,-79.724048,0
1,43.709779,-79.723833,0
1,43.710740,-79.722624,0
1,43.711258,-79.721897,0
1,43.711510,-79.721611,0
1,43.711648,-79.721454,0
1,43.711958,-79.721178,0
1,43.712360,-79.720820,0
1,43.712855,-79.720461,0
1,43.713271,-79.720218,0
1,43.713306,-79.720198,0
1,43.713684,-79.719965,0
1,43.713775,-79.719905,0
1,43.714489,-79.719428,0
1,43.714913,-79.719107,0
1,43.715241,-79.718734,0
1,43.715513,-79.718335,0
1,43.715645,-79.718100,0
1,43.715693,-79.718012,0
1,43.716464,-79.715746,0
1,43.716705,-79.715439,0
1,43.717314,-79.716445,0
1,43.717893,-79.717404,0
1,43.717493,-79.717839,0
1,43.716935,-79.718447,0
1,43.717617,-79.719612,0
1,43.718384,-79.720920,0
1,43.718596,-79.720680,0
1,43.718633,-79.720739,0
1,43.718690,-79.720830,0
1,43.718830,-79.721071,0
1,43.719341,-79.720505,0
1,43.719325,-79.720475,0
1,43.719208,-79.720269,0
1,43.718739,-79.720777,0
1,43.718941,-79.721282,0
1,43.719563,-79.720575,0
1,43.719733,-79.720598,0
1,43.719532,-79.720249,0
1,43.719292,-79.719832,0
1,43.719148,-79.716026,0
1,43.719218,-79.715975,0
1,43.720263,-79.715213,0
1,43.720824,-79.714673,0
1,43.721094,-79.714316,0
1,43.721607,-79.713635,0
1,43.721891,-79.714015,0
1,43.722570,-79.714921,0
1,43.723173,-79.715707,0
1,43.723773,-79.716500,0
1,43.724002,-79.716807,0
1,43.724477,-79.717447,0
1,43.725086,-79.716771,0
1,43.725707,-79.716082,0
1,43.727564,-79.714020,0
1,43.728131,-79.713390,0
1,43.728679,-79.712777,0
1,43.730004,-79.711296,0
1,43.731475,-79.709649,0
1,43.732449,-79.708560,0
1,43.733242,-79.707673,0
1,43.734068,-79.706748,0
1,43.734651,-79.706076,0
1,43.736282,-79.704196,0
1,43.738487,-79.701654,0
1,43.738795,-79.701299,0
1,43.740343,-79.699513,0
1,43.740492,-79.699341,0
1,43.743555,-79.695810,0
1,43.744019,-79.695262,0
1,43.746158,-79.692737,0
1,43.745924,-79.692308,0
1,43.745607,-79.691818,0
1,43.745575,-79.691768,0
1,43.745172,-79.691380,0
1,43.743718,-79.690531,0
1,43.742584,-79.689867,0
1,43.742278,-79.689689,0
1,43.741959,-79.690608,0
1,43.741858,-79.690856,0
1,43.741723,-79.691110,0
1,43.741636,-79.691262,0
1,43.741477,-79.691535,0
1,43.741380,-79.691682,0
1,43.741189,-79.691966,0
1,43.741137,-79.692041,0
1,43.740928,-79.692307,0
1,43.740525,-79.692873,0
1,43.746615,-79.692194,3
1,43.748443,-79.690028,3
1,43.749946,-79.688247,3
1,43.750486,-79.687607,3
1,43.753127,-79.684476,3
1,43.753701,-79.683798,3
1,43.757473,-79.679340,3
1,43.759069,-79.677344,3
1,43.760289,-79.675515,3
1,43.760490,-79.675199,3
1,43.761123,-79.674107,3
1,43.761148,-79.674059,3
1,43.761676,-79.673019,3
1,43.762008,-79.673330,3
1,43.762324,-79.673641,3
1,43.762540,-79.673925,3
1,43.763031,-79.673368,3
1,43.764632,-79.671552,3
1,43.764855,-79.671299,3
1,43.765472,-79.670595,3
1,43.766922,-79.668943,3
1,43.767125,-79.668747,3
1,43.767237,-79.668654,3
1,43.767272,-79.668626,3
1,43.767621,-79.668343,3
1,43.770105,-79.665543,3
1,43.770373,-79.665240,3
1,43.771664,-79.663780,3
1,43.772170,-79.663208,3
1,43.772915,-79.662355,3
1,43.774133,-79.660964,3
1,43.774359,-79.660704,3
1,43.776790,-79.657922,3
1,43.776970,-79.657716,3
1,43.777487,-79.657124,3
1,43.777678,-79.656865,3
1,43.777852,-79.656616,3
1,43.778020,-79.656302,3
1,43.778194,-79.655959,3
1,43.778373,-79.655538,3
1,43.778539,-79.655023,3
1,43.777974,-79.654701,3
1,43.776234,-79.653710,5
1,43.773751,-79.652297,5
1,43.773299,-79.652036,5
1,43.773166,-79.651961,5
1,43.768645,-79.649381,5
1,43.767115,-79.648512,5
1,43.766938,-79.649620,5
1,43.766792,-79.650526,5
1,43.766077,-79.654984,5
1,43.765942,-79.655811,5
1,43.766186,-79.655881,5
1,43.766377,-79.655960,5
1,43.766681,-79.656085,5
1,43.766974,-79.656293,5
1,43.767165,-79.656475,5
1,43.767451,-79.656841,5
1,43.768092,-79.657706,5
1,43.769270,-79.659297,5
1,43.769544,-79.659667,5
1,43.770478,-79.660939,5
1,43.771447,-79.662239,5
1,43.770598,-79.664985,5
1,43.767829,-79.668108,5
1,43.765101,-79.671017,5
1,43.761371,-79.673619,5
1,43.752337,-79.685414,5
1,43.750827,-79.687202,5
1,43.745710,-79.693266,5
1,43.742827,-79.696649,5
1,43.738081,-79.702122,5
1,43.736327,-79.704144,5
1,43.733269,-79.707643,5
1,43.727615,-79.713964,5
1,43.723329,-79.715913,5
1,43.721133,-79.714263,5
1,43.718802,-79.716406,5
1,43.719094,-79.720392,5
1,43.674697,-79.822875,6
1,43.674592,-79.823031,6
1,43.674535,-79.823090,6
1,43.674482,-79.823122,6
1,43.674428,-79.823123,6
1,43.674177,-79.823052,6
1,43.673884,-79.822946,6
1,43.673803,-79.822902,6
1,43.673718,-79.822849,6
1,43.673611,-79.822764,6
1,43.673202,-79.822393,6
1,43.673024,-79.822724,6
1,43.672433,-79.823631,6
1,43.671202,-79.824993,6
1,43.670738,-79.825510,6
1,43.669173,-79.827246,6
1,43.667034,-79.829592,6
1,43.666502,-79.828872,6
1,43.662974,-79.824101,6
1,43.662271,-79.823130,6
1,43.661980,-79.822733,6
1,43.661434,-79.821858,6
1,43.661331,-79.821711,6
1,43.661217,-79.821559,6
1,43.660299,-79.820442,6
1,43.660103,-79.820208,6
1,43.659775,-79.819798,6
1,43.658478,-79.818044,6
1,43.658185,-79.817646,6
1,43.656328,-79.815178,6
1,43.656037,-79.814784,6
1,43.655510,-79.814070,6
1,43.654050,-79.811991,6
1,43.653946,-79.811850,6
1,43.653780,-79.811615,6
1,43.650879,-79.807511,6
1,43.650560,-79.807075,6
1,43.649571,-79.805723,6
1,43.648867,-79.804797,6
1,43.648203,-79.803870,6
1,43.648082,-79.803669,6
1,43.647937,-79.803424,6
1,43.647819,-79.803155,6
1,43.647618,-79.802706,6
1,43.647558,-79.802591,6
1,43.647992,-79.801890,6
1,43.648149,-79.801626,6
1,43.648375,-79.801269,6
1,43.648485,-79.801135,6
1,43.648676,-79.800904,6
1,43.649109,-79.800444,6
1,43.649679,-79.799879,6
1,43.650615,-79.798928,6
1,43.650791,-79.798748,6
1,43.651894,-79.797567,6
1,43.652376,-79.797051,6
1,43.653774,-79.795555,6
1,43.653959,-79.795357,6
1,43.656534,-79.792536,6
1,43.656768,-79.792280,6
1,43.658360,-79.790514,6
1,43.660294,-79.788387,6
1,43.660479,-79.788183,6
1,43.661135,-79.787451,6
1,43.661871,-79.786647,6
1,43.663011,-79.785400,6
1,43.663280,-79.785106,6
1,43.663494,-79.784871,6
1,43.665402,-79.782756,6
1,43.666537,-79.781499,6
1,43.666784,-79.781222,6
1,43.666953,-79.781033,6
1,43.668664,-79.779111,6
1,43.668793,-79.778966,6
1,43.668902,-79.778845,6
1,43.670155,-79.777388,6
1,43.670355,-79.777154,6
1,43.671008,-79.776392,6
1,43.671698,-79.775588,6
1,43.672346,-79.774832,6
1,43.672639,-79.774489,6
1,43.675621,-79.771217,6
1,43.718114,-79.717786,10
1,43.717430,-79.716638,10
1,43.714277,-79.719569,10
1,43.710990,-79.722273,10
1,43.709689,-79.723905,10
1,43.705786,-79.725924,10
1,43.704714,-79.727110,10
1,43.705627,-79.729399,10
1,43.707757,-79.732535,10
1,43.708462,-79.735120,10
1,43.703780,-79.740326,10
1,43.701450,-79.742947,10
