shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10198,43.676851,-79.794655,10001
10198,43.677647,-79.793486,10002
10198,43.677739,-79.793297,10003
10198,43.677824,-79.793024,10004
10198,43.677857,-79.792888,10005
10198,43.677857,-79.792888,20001
10198,43.677899,-79.792711,20002
10198,43.678084,-79.791734,20003
10198,43.678095,-79.791547,20004
10198,43.678087,-79.791325,20005
10198,43.678049,-79.791032,20006
10198,43.678003,-79.790814,20007
10198,43.678003,-79.790814,30001
10198,43.678000,-79.790802,30002
10198,43.677857,-79.790436,30003
10198,43.677524,-79.789856,30004
10198,43.677393,-79.789650,30005
10198,43.677113,-79.789182,30006
10198,43.677113,-79.789182,40001
10198,43.676909,-79.788839,40002
10198,43.676652,-79.788435,40003
10198,43.676484,-79.788277,40004
10198,43.676313,-79.788156,40005
10198,43.675829,-79.787894,40006
10198,43.675829,-79.787894,50001
10198,43.675687,-79.787818,50002
10198,43.675979,-79.786773,50003
10198,43.676075,-79.786569,50004
10198,43.676317,-79.786220,50005
10198,43.676567,-79.785957,50006
10198,43.676567,-79.785957,60001
10198,43.676752,-79.785762,60002
10198,43.677030,-79.785394,60003
10198,43.677778,-79.784366,60004
10198,43.677778,-79.784366,70001
10198,43.677879,-79.784227,70002
10198,43.678122,-79.783891,70003
10198,43.678452,-79.783528,70004
10198,43.679020,-79.782902,70005
10198,43.679285,-79.782604,70006
10198,43.679285,-79.782604,80001
10198,43.679580,-79.782272,80002
10198,43.680141,-79.781619,80003
10198,43.680726,-79.780983,80004
10198,43.680898,-79.780788,80005
10198,43.680898,-79.780788,90001
10198,43.681275,-79.780357,90002
10198,43.681900,-79.779687,90003
10198,43.682192,-79.779341,90004
10198,43.682192,-79.779341,100001
10198,43.682370,-79.779131,100002
10198,43.681396,-79.777817,100003
10198,43.681396,-79.777817,110001
10198,43.680920,-79.777176,110002
10198,43.680138,-79.776125,110003
10198,43.680138,-79.776125,120001
10198,43.679824,-79.775702,120002
10198,43.678627,-79.774083,120003
10198,43.678582,-79.774022,120004
10198,43.678582,-79.774022,130001
10198,43.678010,-79.773241,130002
10198,43.677797,-79.772950,130003
10198,43.677797,-79.772950,140001
10198,43.677682,-79.772791,140002
10198,43.677365,-79.772367,140003
10198,43.677023,-79.771895,140004
10198,43.677023,-79.771895,150001
10198,43.676130,-79.770660,150002
10198,43.674675,-79.768681,150003
10198,43.674442,-79.768363,150004
10198,43.674442,-79.768363,160001
10198,43.674239,-79.768087,160002
10198,43.673366,-79.769288,160003
10198,43.672914,-79.768778,160004
10198,43.672681,-79.769115,160005
10198,43.671433,-79.770898,160006
10198,43.671184,-79.770484,160007
10198,43.671165,-79.770442,160008
10198,43.671152,-79.770398,160009
10198,43.671148,-79.770351,160010
10198,43.671152,-79.770297,160011
10198,43.671167,-79.770244,160012
10198,43.671194,-79.770195,160013
10198,43.671229,-79.770142,160014
10198,43.671412,-79.769897,160015
10198,43.671412,-79.769897,170001
10198,43.672465,-79.768484,170002
10198,43.672494,-79.768456,170003
10198,43.672520,-79.768438,170004
10198,43.672547,-79.768423,170005
10198,43.672573,-79.768421,170006
10198,43.672600,-79.768428,170007
10198,43.672621,-79.768441,170008
10198,43.672649,-79.768469,170009
10198,43.672914,-79.768778,170010
10198,43.673366,-79.769288,170011
10198,43.674239,-79.768087,170012
10198,43.674645,-79.768639,170013
10198,43.674645,-79.768639,180001
10198,43.674675,-79.768681,180002
10198,43.675774,-79.770176,180003
10198,43.675774,-79.770176,190001
10198,43.676130,-79.770660,190002
10198,43.677789,-79.768854,190003
10198,43.677894,-79.768739,190004
10198,43.677894,-79.768739,200001
10198,43.679071,-79.767452,200002
10198,43.679098,-79.767425,200003
10198,43.679302,-79.767202,200004
10198,43.679302,-79.767202,210001
10198,43.680726,-79.765633,210002
10198,43.680726,-79.765633,220001
10198,43.680970,-79.765364,220002
10198,43.681778,-79.764469,220003
10198,43.682392,-79.763800,220004
10198,43.682594,-79.763576,220005
10198,43.682953,-79.763180,220006
10198,43.682953,-79.763180,230001
10198,43.683033,-79.763092,230002
10198,43.683408,-79.762676,230003
10198,43.683928,-79.762121,230004
10198,43.683928,-79.762121,240001
10198,43.684054,-79.761986,240002
10198,43.684243,-79.761775,240003
10198,43.685045,-79.760863,240004
10198,43.685453,-79.761451,240005
10198,43.685728,-79.761822,240006
10198,43.685728,-79.761822,250001
10198,43.686292,-79.762584,250002
10198,43.686645,-79.762192,250003
10198,43.686885,-79.762536,250004
10198,43.686899,-79.762569,250005
10198,43.686907,-79.762609,250006
10198,43.686903,-79.762639,250007
10198,43.686889,-79.762685,250008
10198,43.686859,-79.762738,250009
10198,43.686702,-79.762946,250010
10198,43.686702,-79.762946,260001
10198,43.686702,-79.762946,260002
10198,43.686702,-79.762946,270001
10198,43.686631,-79.763040,270002
10198,43.686292,-79.762584,270003
10198,43.686645,-79.762192,270004
10198,43.686802,-79.762017,270005
10198,43.686975,-79.761836,270006
10198,43.687155,-79.761647,270007
10198,43.687247,-79.761465,270008
10198,43.687291,-79.761350,270009
10198,43.687329,-79.761239,270010
10198,43.687406,-79.760782,270011
10198,43.687476,-79.760377,270012
10198,43.687517,-79.760119,270013
10198,43.687519,-79.759883,270014
10198,43.687477,-79.759632,270015
10198,43.687400,-79.759430,270016
10198,43.687333,-79.759286,270017
10198,43.687035,-79.758700,270018
10198,43.687357,-79.758349,270019
10198,43.687459,-79.758237,270020
10198,43.687459,-79.758237,280001
10198,43.688304,-79.757313,280002
10198,43.688540,-79.757056,280003
10198,43.689195,-79.756339,280004
10198,43.689195,-79.756339,290001
10198,43.689315,-79.756208,290002
10198,43.689604,-79.755896,290003
10198,43.690296,-79.755151,290004
10198,43.690777,-79.754762,290005
10198,43.691022,-79.754565,290006
10198,43.691048,-79.754536,290007
10198,43.691048,-79.754536,300001
10198,43.691819,-79.753678,300002
10198,43.692061,-79.753409,300003
10198,43.692764,-79.752661,300004
10198,43.692764,-79.752661,310001
10198,43.692837,-79.752582,310002
10198,43.693532,-79.751821,310003
10198,43.693532,-79.751821,320001
10198,43.693722,-79.751611,320002
10198,43.694040,-79.751259,320003
10198,43.694639,-79.750602,320004
10198,43.695410,-79.749760,320005
10198,43.695633,-79.749485,320006
10198,43.696055,-79.749011,320007
10198,43.696055,-79.749011,330001
10198,43.697382,-79.747520,330002
10198,43.697382,-79.747520,340001
10198,43.698853,-79.745869,340002
10198,43.699122,-79.745561,340003
10198,43.699122,-79.745561,350001
10198,43.699975,-79.744587,350002
10198,43.699975,-79.744587,360001
10198,43.700653,-79.743811,360002
10198,43.701566,-79.742821,360003
10198,43.701566,-79.742821,370001
10198,43.701810,-79.742557,370002
10198,43.703285,-79.740883,370003
10198,43.703285,-79.740883,380001
10198,43.703556,-79.740576,380002
10198,43.704506,-79.739522,380003
10198,43.705220,-79.738732,380004
10198,43.705404,-79.738525,380005
10198,43.705433,-79.738491,380006
10198,43.705712,-79.738177,380007
10198,43.705891,-79.737976,380008
10198,43.706674,-79.737097,380009
10198,43.708217,-79.735395,380010
10198,43.709038,-79.734469,380011
10198,43.708183,-79.733172,380012
10198,43.708183,-79.733172,390001
10198,43.707940,-79.732805,390002
10198,43.707408,-79.732025,390003
10198,43.705712,-79.729525,390004
10198,43.705712,-79.729525,400001
10198,43.704347,-79.727514,400002
10198,43.704767,-79.727049,400003
10198,43.704767,-79.727049,410001
10198,43.706019,-79.725667,410002
10198,43.706507,-79.725158,410003
10198,43.706507,-79.725158,420001
10198,43.706633,-79.725028,420002
10198,43.706912,-79.724845,420003
10198,43.707133,-79.724745,420004
10198,43.707277,-79.724684,420005
10198,43.707516,-79.724640,420006
10198,43.707832,-79.724595,420007
10198,43.708894,-79.724385,420008
10198,43.709260,-79.724184,420009
10198,43.709260,-79.724184,430001
10198,43.709509,-79.724048,430002
10198,43.709779,-79.723833,430003
10198,43.710740,-79.722624,430004
10198,43.711258,-79.721897,430005
10198,43.711510,-79.721611,430006
10198,43.711510,-79.721611,440001
10198,43.711648,-79.721454,440002
10198,43.711958,-79.721178,440003
10198,43.712360,-79.720820,440004
10198,43.712855,-79.720461,440005
10198,43.713271,-79.720218,440006
10198,43.713271,-79.720218,450001
10198,43.713306,-79.720198,450002
10198,43.713684,-79.719965,450003
10198,43.713775,-79.719905,450004
10198,43.714489,-79.719428,450005
10198,43.714913,-79.719107,450006
10198,43.715241,-79.718734,450007
10198,43.715513,-79.718335,450008
10198,43.715645,-79.718100,450009
10198,43.715645,-79.718100,460001
10198,43.715693,-79.718012,460002
10198,43.716464,-79.715746,460003
10198,43.716705,-79.715439,460004
10198,43.717314,-79.716445,460005
10198,43.717314,-79.716445,470001
10198,43.717893,-79.717404,470002
10198,43.717493,-79.717839,470003
10198,43.717493,-79.717839,480001
10198,43.716935,-79.718447,480002
10198,43.717617,-79.719612,480003
10198,43.717617,-79.719612,490001
10198,43.718384,-79.720920,490002
10198,43.718596,-79.720680,490003
10198,43.718633,-79.720739,490004
10198,43.718690,-79.720830,490005
10198,43.718830,-79.721071,490006
10198,43.719341,-79.720505,490007
10198,43.719325,-79.720475,490008
10198,43.719208,-79.720269,490009
10198,43.718739,-79.720777,490010
10198,43.718739,-79.720777,500001
10198,43.718739,-79.720777,500002
10198,43.718739,-79.720777,510001
10198,43.718690,-79.720830,510002
10198,43.718830,-79.721071,510003
10198,43.718941,-79.721282,510004
10198,43.719563,-79.720575,510005
10198,43.719733,-79.720598,510006
10198,43.719532,-79.720249,510007
10198,43.719292,-79.719832,510008
10198,43.717893,-79.717404,510009
10198,43.719148,-79.716026,510010
10198,43.719218,-79.715975,510011
