stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
00000020,1001,"Kennedy Rd S n/of First Gulf Blvd",,  43.673257, -79.718469,,,0,,,1
00000030,1002,"Kennedy Rd s/of Steeles Ave",,  43.675159, -79.721710,,,0,,,1
00000060,1006,"Rutherford Rd s/of Bramsteele Rd",,  43.681968, -79.718981,,,0,,,1
00000070,1008,"Rutherford Rd S n/of Bramsteele Rd",,  43.683807, -79.721458,,,0,,,1
00000080,1009,"Rutherford Rd S at Glidden Rd",,  43.686334, -79.725066,,,0,,,1
00000090,1010,"Rutherford Rd S at Selby Rd",,  43.689013, -79.728960,,,0,,,1
00000100,1011,"Rutherford Rd S opp Stafford Rd",,  43.690237, -79.730618,,,0,,,1
00000110,1012,"Rutherford Rd S at Clarence St",,  43.691459, -79.731882,,,0,,,1
00000120,1013,"Orenda Rd e/of Rutherford Rd S",,  43.695114, -79.732760,,,0,,,1
00000130,1014,"Orenda Rd btwn Rutherford Rd S & Heart Lake Rd",,  43.695702, -79.729801,,,0,,,1
00000140,1015,"Orenda Rd opp Heart Lake Rd",,  43.696757, -79.727831,,,0,,,1
00000150,1016,"Orenda Rd opp Tilbury Crt",,  43.697323, -79.725029,,,0,,,1
00000160,1017,"Orenda Rd at 237 Orenda Rd",,  43.697068, -79.722670,,,0,,,1
00000170,1018,"Orenda Rd at Titan Rd",,  43.698080, -79.720259,,,0,,,1
00000180,1019,"West Dr n/of Orenda Rd",,  43.699876, -79.718366,,,0,,,1
00000190,1020,"West Dr s/of Clark Blvd ( 55 West Dr )",,  43.702724, -79.723127,,,0,,,1
00000200,1021,"Clark Blvd e/of West Dr",,  43.704702, -79.726936,,,0,,,1
00000210,1022,"Clark Blvd at 185 Clark Blvd",,  43.706436, -79.725026,,,0,,,1
00000220,1023,"Clark Blvd at Terese Rd",,  43.709230, -79.724078,,,0,,,1
00000222,1024,"Queen St E btwn Torbram Rd & Gateway Blvd",,  43.736170, -79.704012,,,0,,,1
00000230,1025,"Clark Blvd at Braemar Dr",,  43.711451, -79.721512,,,0,,,1
00000235,3615,"Clark Blvd at Briar Path",,  43.713219, -79.720048,,,0,,,1
00000270,1028,"Clark Blvd at Lisa St",,  43.709748, -79.724024,,,0,,,1
00000280,1029,"Clark Blvd opp 185 Clark Blvd",,  43.705847, -79.726028,,,0,,,1
00000290,1030,"Clark Blvd at West Dr",,  43.704774, -79.727214,,,0,,,1
00000300,1031,"West Dr s/of Clark Blvd",,  43.703897, -79.726877,,,0,,,1
00000308,3667,"West Dr at 60 West Dr",,  43.703243, -79.724485,,,0,,,1
00000310,1032,"West Dr at Norpak Whse",,  43.701521, -79.721492,,,0,,,1
00000320,1033,"West Dr s/of Orenda Rd",,  43.699126, -79.717846,,,0,,,1
00000330,1034,"Glidden Rd w/of West Dr",,  43.694830, -79.713756,,,0,,,1
00000340,1035,"Glidden Rd at Blair Dr",,  43.693625, -79.715444,,,0,,,1
00000350,1036,"Glidden Rd at Heart Lake Rd",,  43.691648, -79.718268,,,0,,,1
00000360,1037,"Glidden Rd w/of Heart Lake Rd",,  43.689773, -79.720893,,,0,,,1
00000365,4223,"Hale Rd s/of Glidden Rd",,  43.687312, -79.722975,,,0,,,1
00000370,1038,"Glidden Rd at Hale Rd",,  43.688501, -79.722687,,,0,,,1
00000371,3760,"Hale Rd btwn Glidden Rd & Bramsteele Ave",,  43.686027, -79.721239,,,0,,,1
00000372,3761,"Hale Rd n/of Bramsteele Ave",,  43.684192, -79.718177,,,0,,,0
00000373,3762,"Bramsteele Ave e/of Rutherford Rd",,  43.683237, -79.718494,,,0,,,1
00000410,1043,"Rutherford Rd S at Steeles Ave E",,  43.680933, -79.717993,,,0,,,1
00000420,1044,"First Gulf Blvd n/of Biscayne Cres (N)",,  43.679438, -79.715877,,,0,,,0
00000430,1045,"First Gulf Blvd at Biscayne Cres S",,  43.677124, -79.713402,,,0,,,0
00000440,1046,"First Gulf Blvd btwn Biscayne Cres (S) and Kennedy",,  43.674483, -79.715878,,,0,,,1
00000460,1047,"Hereford St s/of Steeles Ave",,  43.622217, -79.780921,,,0,,,1
00000461,3695,"Heritage - Zum Steeles Station Stop EB",,  43.617924, -79.785976,,,0,,,1
00000466,3692,"Heritage - Zum Steeles Station Stop WB",,  43.617184, -79.787371,,,0,,,1
00000468,3693,"Winston Churchill - Zum Steeles Station Stop WB",,  43.606798, -79.796938,,,0,,,1
00000469,3694,"Winston Churchill - Zum Steeles Station Stop EB",,  43.608098, -79.796937,,,0,,,1
00000470,1048,"Mississauga Road - Zum Steeles Station Stop EB",,  43.627820, -79.775184,,,0,,,1
00000475,6196,"Argentia - Zum Steeles Stop WB",,  43.596036, -79.785959,,,0,,,1
00000477,3712,"Argentia - Zum Steeles Stop EB",,  43.595031, -79.786301,,,0,,,1
00000510,1052,"Steeles Ave W at Churchville Rd",,  43.639747, -79.762015,,,0,,,0
00000520,1053,"Steeles Ave W at Clementine Dr",,  43.643685, -79.757659,,,0,,,0
00000530,1054,"Steeles Ave W btwn Mavis Rd & Windmill Blvd",,  43.649578, -79.751152,,,0,,,1
00000535,3897,"Steeles Ave btwn Clementine Dr and Mavis Rd",,  43.645282, -79.755836,,,0,,,1
00000540,1055,"Mavis - Zum Steeles Station Stop EB",,  43.647339, -79.753535,,,0,,,1
00000550,1056,"Steeles Ave W at Windmill Blvd",,  43.653268, -79.747021,,,0,,,1
00000560,1057,"Steeles Ave W at McLaughlin Rd S",,  43.656006, -79.743870,,,0,,,1
00000610,1060,"Steeles Ave E btwn Hurontario St & Hartford Tr",,  43.670455, -79.728063,,,0,,,1
