route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
51,260105-MULTI-Weekday-01,24914446,"51 HEREFORD EAST",0,1196180,510036,1,1
9,260105-MULTI-Weekday-01,24914447,"9 VODDEN EAST",0,1195776,90032,1,1
60,260105-MULTI-Weekday-01,24914448,"60 MISSISSAUGA ROAD SOUTH",1,1195978,600009,1,1
30,260105-MULTI-Weekday-01,24914449,"30 AIRPORT ROAD NORTH",0,1197951,300088,1,1
30,260105-MULTI-Weekday-01,24914450,"30 AIRPORT ROAD NORTH",0,1197953,300088,1,1
51,260105-MULTI-Weekday-01,24914451,"51 HEREFORD WEST",1,1196180,510037,1,1
23,260105-MULTI-Weekday-01,24914452,"23 SANDALWOOD EAST",0,1196018,230129,1,1
23,260105-MULTI-Weekday-01,24914453,"23 SANDALWOOD WEST",1,1196021,230127,1,1
60,260105-MULTI-Weekday-01,24914454,"60 MISSISSAUGA ROAD NORTH",0,1195978,600006,1,1
18,260105-MULTI-Weekday-01,24914455,"18 DIXIE NORTH",0,1198055,180212,1,1
18,260105-MULTI-Weekday-01,24914456,"18 DIXIE NORTH",0,1198059,180212,1,1
18,260105-MULTI-Weekday-01,24914457,"18 DIXIE NORTH",0,1198063,180212,1,1
18,260105-MULTI-Weekday-01,24914458,"18 DIXIE NORTH",0,1198064,180212,1,1
18,260105-MULTI-Weekday-01,24914459,"18 DIXIE NORTH",0,1198065,180212,1,1
18,260105-MULTI-Weekday-01,24914460,"18 DIXIE NORTH",0,1198060,180209,1,1
18,260105-MULTI-Weekday-01,24914462,"18 DIXIE SOUTH",1,1198054,180203,1,1
18,260105-MULTI-Weekday-01,24914463,"18 DIXIE SOUTH",1,1198056,180203,1,1
18,260105-MULTI-Weekday-01,24914464,"18 DIXIE SOUTH",1,1198058,180203,1,1
18,260105-MULTI-Weekday-01,24914466,"18 DIXIE SOUTH",1,1198052,180223,1,1
56,260105-MULTI-Weekday-01,24914467,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914468,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914469,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914470,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914471,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914472,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
9,260105-MULTI-Weekday-01,24914473,"9 VODDEN WEST",1,1195776,90034,1,1
56,260105-MULTI-Weekday-01,24914474,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914475,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914476,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914477,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914478,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914479,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914480,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914481,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914482,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914483,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914484,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914485,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914486,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
56,260105-MULTI-Weekday-01,24914487,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
8,260105-MULTI-Weekday-01,24914488,"8 CENTRE EAST",0,1196233,80041,1,1
8,260105-MULTI-Weekday-01,24914489,"8 CENTRE WEST",1,1196234,80040,1,1
56,260105-MULTI-Weekday-01,24914490,"56 KINGKNOLL LOOP",1,1196214,560029,1,1
