stop_id,zone_id,location_type,stop_name,stop_desc,stop_lat,stop_url,stop_timezone,wheelchair_boarding,parent_station,preferred,stop_lon,stop_code
1000:1,,0,Glen Northbound @ Medina,,43.87268331,,,1,,2,-78.855412,1000
1001:1,,0,Northbound @ 825 Glen,,43.87529628,,,1,,2,-78.856489,1001
1002:1,,0,Malaga Westbound @ Oxford,,43.875507,,,1,,2,-78.858799,1002
1003:1,,0,Malaga Westbound @ Park,,43.874698,,,1,,1,-78.862502,1003
100:1,,0,McQuay Northbound @ Dundas,,43.87593224,,,1,,2,-78.961715,100
1014:1,,0,Malaga Eastbound @ Park,,43.87443,,,2,,2,-78.863301,1014
1015:1,,0,Malaga Eastbound @ Oxford (West side stop),,43.875032,,,1,,2,-78.86054799999998,1015
1016:1,,0,Malaga Eastbound @ Oxford (East side stop),,43.875586,,,1,,2,-78.857982,1016
1017:1,,0,Southbound @ 830 Glen,,43.87507063000001,,,1,,2,-78.85656,1017
1018:1,,0,Glen Southbound @ Medina,,43.87281378,,,1,,2,-78.855636,1018
1019:1,,0,Glen Southbound @ Porter,,43.871258,,,1,,2,-78.854967,1019
101:1,,0,McQuay Northbound @ Moonstone,,43.878431,,,1,,2,-78.96314599999998,101
1020:1,,0,Wentworth Eastbound @ Ravine,,43.873007,,,1,,2,-78.846475,1020
1023:1,,0,Simcoe Southbound @ Ritson,,43.872059,,,1,,2,-78.841181,1023
1024:1,,0,Simcoe Southbound @ Wellington,,43.870666,,,1,,2,-78.8386,1024
1025:1,,0,Simcoe Southbound @ Kawartha,,43.86897900000001,,,1,,2,-78.835431,1025
1027:1,,0,Westbound @ 60 Lakeview Park,,43.863287,,,1,,2,-78.82959099999998,1027
1029:1,,0,Lakeview Park Westbound @ Ritson,,43.861379,,,1,,2,-78.836721,1029
102:1,,0,McQuay Northbound @ Kennett,,43.879593,,,1,,2,-78.965224,102
1030:1,,0,Valley Westbound @ Ritson,,43.86425,,,1,,2,-78.83846,1030
1031:1,,0,Phillip Murray Southbound @ Fundy,,43.864094,,,1,,2,-78.84241,1031
1032:1,,0,Phillip Murray Southbound @ Scugog,,43.86300700000001,,,1,,2,-78.84441,1032
1033:1,,0,Cedar Northbound @ Phillip Murray,,43.86144322995122,,,1,,2,-78.84781779532226,1033
103:1,,0,McQuay Northbound @ Balsdon,,43.881326,,,1,,2,-78.966408,103
104:1,,0,McQuay Northbound @ Bonacord,,43.8836627,,,1,,2,-78.9673866,104
1052:1,,0,Eastbound @ 1733 Victoria,,43.867405,,,2,,1,-78.899322,1052
1053:1,,0,Eastbound @ 555 Bloor,,43.8748675,,,1,,2,-78.8787787,1053
1055:1,,0,Eastbound @ 249 Bloor,,43.878406,,,1,,2,-78.864296,1055
1056:1,,0,Bloor Eastbound @ Oxford,,43.879381,,,1,,2,-78.860118,1056
1057:1,,0,Bloor Eastbound @ Simcoe,,43.880241,,,1,,2,-78.856285,1057
1058:1,,0,Bloor Eastbound @ Albert,,43.880885,,,1,,2,-78.853414,1058
1059:1,,0,Bloor Eastbound @ Merritt,,43.8816337,,,1,,2,-78.8499396,1059
105:1,,0,McQuay Northbound @ Guthrie,,43.8852378,,,1,,2,-78.968363,105
1066:1,,0,Eastbound @ 887 Bloor,,43.888433,,,2,,2,-78.819826,1066
1067:1,,0,Grandview Southbound @ Bloor (South side stop),,43.889648,,,1,,2,-78.813063,1067
1068:1,,0,Grandview Southbound @ Downview,,43.88767,,,1,,2,-78.810582,1068
1069:1,,0,Grandview Southbound @ Norman,,43.88659650000001,,,1,,2,-78.8095866,1069
106:1,,0,McQuay Northbound @ Renfield,,43.888336,,,1,,2,-78.969264,106
1070:1,,0,Grandview Eastbound @ Southdown,,43.886499,,,1,,2,-78.806985,1070
1071:1,,0,Townline Northbound @ Grandview,,43.88752003,,,1,,2,-78.80497908,1071
107:1,,0,McQuay Northbound @ Jacob,,43.89000200000001,,,1,,2,-78.97109399999998,107
1080:1,,0,Westbound @ 882 Bloor,,43.888469,,,1,,2,-78.820015,1080
1083:1,,0,Bloor Westbound @ Farewell,,43.885798,,,1,,2,-78.83223599999998,1083
1084:1,,0,Bloor Westbound @ Holland,,43.885282,,,1,,2,-78.83441,1084
1088:1,,0,Bloor Westbound @ Merritt,,43.881681,,,1,,2,-78.85046,1088
1089:1,,0,Bloor Westbound @ Simcoe,,43.880638,,,1,,2,-78.855267,1089
108:1,,0,McQuay Westbound @ Muir,,43.889791,,,1,,2,-78.97463999999998,108
1090:1,,0,Bloor Westbound @ Oxford,,43.8794327,,,1,,2,-78.86027799999998,1090
1091:1,,0,Bloor Westbound @ Park,,43.878553,,,1,,2,-78.864334,1091
1096:1,,0,Simcoe Northbound @ Wentworth,,43.874477,,,1,,2,-78.845479,1096
