trip_headsign,service_id,direction_id,block_id,route_id,shape_id,wheelchair_accessible,direction_name,trip_id
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4001_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,100__4001_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4075_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,101__4075_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4024_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,102__4024_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4070_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,103__4070_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4020_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,104__4020_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4027_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,105__4027_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4017_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,106__4017_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4029_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,107__4029_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4011_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,108__4011_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4010_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,109__4010_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4069_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,110__4069_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4016_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,111__4016_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4068_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,112__4068_Timetable_-_2024-02
