service_id,date,exception_type
20260228,20260228,1
20260227,20260227,1
20260226,20260226,1
20260225,20260225,1
20260224,20260224,1
20260223,20260223,1
20260222,20260222,1
20260221,20260221,1
20260220,20260220,1
20260219,20260219,1
20260218,20260218,1
20260217,20260217,1
20260216,20260216,1
20260215,20260215,1
20260214,20260214,1
20260213,20260213,1
20260212,20260212,1
20260211,20260211,1
20260210,20260210,1
20260209,20260209,1
20260208,20260208,1
20260207,20260207,1
20260206,20260206,1
20260205,20260205,1
20260204,20260204,1
20260203,20260203,1
20260202,20260202,1
20260201,20260201,1
20260131,20260131,1
20260130,20260130,1
20260129,20260129,1
20260128,20260128,1
20260127,20260127,1
20260126,20260126,1
20260125,20260125,1
