route_id,shape_pt_lat,shape_pt_lon
ST,43.64610892,-79.37186599,189
ST,43.64639898,-79.37043164,189
ST,43.64670042,-79.36896499,189
ST,43.64694500,-79.36778565,189
ST,43.64718719,-79.36663740,189
ST,43.64757736,-79.36475905,189
ST,43.64788074,-79.36335992,189
ST,43.64815189,-79.36215032,189
ST,43.64857255,-79.36071471,189
ST,43.64909062,-79.35919111,189
ST,43.65017658,-79.35608318,189
ST,43.65064429,-79.35519656,189
ST,43.65299306,-79.35079113,189
ST,43.65335871,-79.35009976,189
ST,43.65366639,-79.34952691,189
ST,43.65429571,-79.34851466,189
ST,43.65466759,-79.34803784,189
ST,43.65514957,-79.34753286,189
ST,43.65575623,-79.34701835,189
ST,43.65646814,-79.34657318,189
ST,43.65696774,-79.34635281,189
ST,43.65744914,-79.34618173,189
ST,43.65800817,-79.34606377,189
ST,43.65855320,-79.34599674,189
ST,43.66018032,-79.34582548,189
ST,43.66169502,-79.34560664,189
ST,43.66289670,-79.34530012,189
ST,43.66384635,-79.34493018,189
ST,43.66476784,-79.34444081,189
ST,43.66519260,-79.34420014,189
ST,43.66565952,-79.34389332,189
ST,43.66613795,-79.34356379,189
ST,43.66679248,-79.34311435,189
ST,43.66758180,-79.34248953,189
ST,43.66805703,-79.34204003,189
ST,43.66880401,-79.34132157,189
ST,43.66964927,-79.34031535,189
ST,43.67047488,-79.33924235,189
ST,43.67134349,-79.33792441,189
ST,43.67186495,-79.33704227,189
ST,43.67234689,-79.33615329,189
ST,43.67268554,-79.33538217,189
ST,43.67321173,-79.33408828,189
ST,43.67388155,-79.33240804,189
ST,43.67649895,-79.32579910,189
ST,43.67814681,-79.32160652,189
ST,43.67863823,-79.32037965,189
ST,43.67916435,-79.31901145,189
ST,43.67972473,-79.31758009,189
ST,43.68016848,-79.31639477,189
ST,43.68162111,-79.31267962,189
ST,43.68218811,-79.31126592,189
ST,43.68352373,-79.30783159,189
ST,43.68429248,-79.30587542,189
ST,43.68514021,-79.30369848,189
ST,43.68560578,-79.30250266,189
ST,43.68594245,-79.30149556,189
ST,43.68648790,-79.29972947,189
ST,43.68701441,-79.29751233,189
ST,43.69024124,-79.28327446,189
ST,43.69052422,-79.28202235,189
ST,43.69080062,-79.28083835,189
ST,43.69109959,-79.27952551,189
ST,43.69142816,-79.27834484,189
ST,43.69168768,-79.27749266,189
ST,43.69204165,-79.27643890,189
ST,43.69229326,-79.27579897,189
ST,43.69265652,-79.27496265,189
ST,43.69314927,-79.27393576,189
ST,43.69355217,-79.27319783,189
ST,43.69404488,-79.27234086,189
ST,43.69431779,-79.27187804,189
ST,43.69497340,-79.27095110,189
ST,43.69568761,-79.27004606,189
ST,43.69618433,-79.26947135,189
ST,43.69723395,-79.26841484,189
ST,43.69851305,-79.26728817,189
ST,43.70187343,-79.26504100,189
ST,43.70267759,-79.26451111,189
ST,43.70347239,-79.26398830,189
ST,43.70418829,-79.26351130,189
ST,43.70516361,-79.26285996,189
ST,43.70645270,-79.26201394,189
ST,43.70709694,-79.26158053,189
ST,43.70770372,-79.26117446,189
ST,43.70822371,-79.26082808,189
ST,43.70899255,-79.26033002,189
