route_id,shape_pt_lat,shape_pt_lon
1,43.421750,-80.441668,0
1,43.422226,-80.441816,0
1,43.422423,-80.440659,0
1,43.422528,-80.440072,0
1,43.422381,-80.440001,0
1,43.421883,-80.439499,0
1,43.421657,-80.439366,0
1,43.421691,-80.439170,0
1,43.421786,-80.438817,0
1,43.421886,-80.438536,0
1,43.421979,-80.438321,0
1,43.422055,-80.438167,0
1,43.422091,-80.438079,0
1,43.422565,-80.437257,0
1,43.422699,-80.437025,0
1,43.423393,-80.435799,0
1,43.423460,-80.435676,0
1,43.423836,-80.435079,0
1,43.424124,-80.434684,0
1,43.424274,-80.434479,0
1,43.424407,-80.434337,0
1,43.424511,-80.434246,0
1,43.425069,-80.433792,0
1,43.425322,-80.433616,0
1,43.425938,-80.433276,0
1,43.426139,-80.433184,0
1,43.426405,-80.433096,0
1,43.426690,-80.433021,0
1,43.427202,-80.432911,0
1,43.427680,-80.432683,0
1,43.428485,-80.432195,0
1,43.428679,-80.432052,0
1,43.428901,-80.431972,0
1,43.429001,-80.431937,0
1,43.429163,-80.431906,0
1,43.429362,-80.431903,0
1,43.429826,-80.431928,0
1,43.430106,-80.431887,0
1,43.430279,-80.431814,0
1,43.430435,-80.431717,0
1,43.430464,-80.431692,0
1,43.430579,-80.431595,0
1,43.431258,-80.430903,0
1,43.432111,-80.430077,0
1,43.432246,-80.429956,0
1,43.432690,-80.429556,0
1,43.432788,-80.429648,0
1,43.433675,-80.430606,0
1,43.434110,-80.431187,0
1,43.434298,-80.431439,0
1,43.434614,-80.431798,0
1,43.435024,-80.432136,0
1,43.435606,-80.432752,0
1,43.435774,-80.432485,0
1,43.435933,-80.432234,0
1,43.436343,-80.431753,0
1,43.436922,-80.430822,0
1,43.437130,-80.431049,0
1,43.438367,-80.432394,0
1,43.439074,-80.433157,0
1,43.439315,-80.433417,0
1,43.439720,-80.433917,0
1,43.439990,-80.434320,0
1,43.440222,-80.434717,0
1,43.441191,-80.436701,0
1,43.441527,-80.437296,0
1,43.441890,-80.437822,0
1,43.442163,-80.438161,0
1,43.442569,-80.438598,0
1,43.443091,-80.439059,0
1,43.443190,-80.439146,0
1,43.444596,-80.440349,0
1,43.445603,-80.441234,0
1,43.445831,-80.441431,0
1,43.446392,-80.441860,0
1,43.446923,-80.442150,0
1,43.447347,-80.442329,0
1,43.447977,-80.442666,0
1,43.448581,-80.442967,0
1,43.449098,-80.443225,0
1,43.449497,-80.443459,0
1,43.449708,-80.443583,0
1,43.450890,-80.444337,0
1,43.451379,-80.444653,0
1,43.452068,-80.445097,0
1,43.453337,-80.445925,0
1,43.453944,-80.446322,0
1,43.454608,-80.446742,0
1,43.455038,-80.447026,0
1,43.455144,-80.447096,0
1,43.456224,-80.447801,0
1,43.456583,-80.448105,0
1,43.456897,-80.448495,0
1,43.457152,-80.448959,0
1,43.457249,-80.449207,0
1,43.457397,-80.449741,0
1,43.457486,-80.450059,0
1,43.457669,-80.450755,0
1,43.458381,-80.453509,0
1,43.458680,-80.454675,0
1,43.458730,-80.454900,0
1,43.458803,-80.455233,0
1,43.458843,-80.455681,0
1,43.458793,-80.457399,0
1,43.458819,-80.457936,0
1,43.458898,-80.458232,0
1,43.459008,-80.458479,0
1,43.459143,-80.458692,0
1,43.459437,-80.459027,0
1,43.460545,-80.460257,0
1,43.461179,-80.460969,0
1,43.461385,-80.461121,0
1,43.461989,-80.461480,0
1,43.461909,-80.461726,0
1,43.461034,-80.464501,0
1,43.460407,-80.466480,0
1,43.459988,-80.467817,0
1,43.459906,-80.468079,0
1,43.459410,-80.469632,0
1,43.459066,-80.470709,0
1,43.458459,-80.472588,0
1,43.458355,-80.472899,0
1,43.457111,-80.471583,0
1,43.456978,-80.471531,0
1,43.456856,-80.471538,0
1,43.456120,-80.471686,0
1,43.456029,-80.471667,0
1,43.455952,-80.471610,0
1,43.455778,-80.471418,0
1,43.453740,-80.469223,0
1,43.453347,-80.470382,0
1,43.452635,-80.472524,0
1,43.452567,-80.472726,0
1,43.452198,-80.473785,0
1,43.451882,-80.474722,0
1,43.451836,-80.474857,0
1,43.451571,-80.475639,0
1,43.451442,-80.475979,0
1,43.451066,-80.477108,0
1,43.451007,-80.477274,0
1,43.450674,-80.478216,0
1,43.450288,-80.479339,0
1,43.450116,-80.479850,0
1,43.449794,-80.480761,0
1,43.449547,-80.481462,0
1,43.449312,-80.481663,0
1,43.450603,-80.484503,0
1,43.449923,-80.485050,0
1,43.449789,-80.485150,0
1,43.449675,-80.485235,0
1,43.450222,-80.486662,0
1,43.450325,-80.486950,0
1,43.449700,-80.487352,0
1,43.449384,-80.487546,0
1,43.449184,-80.487669,0
1,43.448782,-80.487947,0
1,43.448641,-80.488053,0
1,43.448498,-80.488205,0
1,43.448366,-80.488346,0
1,43.447714,-80.489048,0
1,43.447427,-80.489326,0
1,43.447295,-80.489456,0
1,43.447039,-80.489715,0
1,43.446756,-80.490022,0
1,43.446293,-80.490501,0
1,43.445902,-80.490910,0
1,43.445800,-80.491017,0
1,43.445631,-80.491209,0
1,43.445371,-80.491522,0
1,43.445770,-80.492219,0
1,43.446150,-80.492933,0
1,43.445823,-80.493261,0
1,43.445813,-80.493272,0
1,43.445555,-80.493545,0
1,43.445264,-80.493836,0
1,43.444959,-80.494153,0
1,43.444684,-80.494432,0
1,43.444360,-80.494761,0
1,43.444269,-80.494851,0
1,43.443178,-80.495962,0
1,43.442444,-80.496704,0
1,43.442364,-80.496785,0
1,43.442127,-80.497034,0
1,43.441750,-80.497406,0
1,43.441141,-80.498037,0
1,43.441029,-80.498134,0
1,43.440822,-80.498300,0
1,43.440359,-80.498777,0
1,43.440226,-80.498914,0
1,43.439436,-80.499704,0
1,43.439176,-80.499970,0
1,43.438762,-80.500392,0
1,43.438643,-80.500786,0
1,43.438599,-80.501168,0
1,43.438468,-80.501640,0
1,43.438458,-80.501676,0
1,43.438371,-80.501877,0
1,43.438093,-80.502320,0
1,43.437778,-80.502653,0
1,43.437367,-80.502922,0
1,43.437223,-80.502974,0
1,43.436844,-80.503195,0
1,43.436638,-80.503495,0
1,43.436558,-80.503612,0
1,43.436248,-80.504082,0
1,43.435847,-80.504816,0
1,43.435236,-80.505922,0
1,43.434480,-80.507295,0
1,43.434195,-80.508021,0
1,43.434119,-80.508237,0
1,43.434056,-80.508415,0
1,43.433456,-80.510099,0
1,43.433203,-80.510809,0
1,43.432102,-80.513892,0
1,43.431887,-80.514492,0
1,43.431434,-80.515748,0
1,43.431063,-80.516793,0
1,43.430827,-80.517286,0
1,43.430588,-80.517598,0
1,43.430523,-80.517701,0
