service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4503_merged_1842991,20231231,20240427,0,0,0,0,0,0,0
14601_merged_1842999,20231231,20240427,0,0,0,0,0,0,0
4505,20231231,20240427,0,0,0,0,0,0,0
3_merged_1842993,20231231,20240427,0,0,0,0,0,0,1
5,20231231,20240427,0,0,0,0,0,0,0
4507_merged_1843001,20231231,20240427,0,0,0,0,0,0,0
2_merged_1842994,20231231,20240427,0,0,0,0,0,1,0
4502_merged_1842997,20231231,20240427,0,0,0,0,0,0,0
1_merged_1842992,20231231,20240427,1,1,1,1,1,0,0
14602_merged_1842998,20231231,20240427,0,0,0,0,0,0,0
8701_merged_1843002,20231231,20240427,0,0,0,0,0,0,0
7_merged_1842995,20231231,20240427,0,0,0,0,0,0,0
1601_merged_1843000,20231231,20240427,0,0,0,0,0,0,0
2107_merged_1843005,20231231,20240427,0,0,0,0,0,0,0
2103_merged_1843003,20231231,20240427,0,0,0,0,0,0,0
2101_merged_1843004,20231231,20240427,0,0,0,0,0,0,0
301_merged_1842996,20231231,20240427,0,0,0,0,0,0,0
2105,20231231,20240427,0,0,0,0,0,0,0
