service_id,date,exception_type
703,20230903,1
14703,20230903,1
3403,20230903,1
703,20230904,1
14703,20230904,1
3403,20230904,1
3,20230904,1
1,20230904,2
1601,20230905,1
301,20230905,1
14601,20230905,1
8701,20230905,1
1601,20230906,1
301,20230906,1
14601,20230906,1
8701,20230906,1
1601,20230907,1
301,20230907,1
14601,20230907,1
8701,20230907,1
1601,20230908,1
301,20230908,1
14601,20230908,1
8701,20230908,1
14602,20230909,1
14702,20230909,1
703,20230910,1
14703,20230910,1
1601,20230911,1
301,20230911,1
14601,20230911,1
8701,20230911,1
1601,20230912,1
301,20230912,1
14601,20230912,1
8701,20230912,1
1601,20230913,1
301,20230913,1
14601,20230913,1
8701,20230913,1
1601,20230914,1
301,20230914,1
14601,20230914,1
8701,20230914,1
1601,20230915,1
301,20230915,1
14601,20230915,1
8701,20230915,1
14602,20230916,1
14702,20230916,1
703,20230917,1
14703,20230917,1
1601,20230918,1
301,20230918,1
14601,20230918,1
8701,20230918,1
1601,20230919,1
301,20230919,1
14601,20230919,1
8701,20230919,1
1601,20230920,1
301,20230920,1
14601,20230920,1
8701,20230920,1
1601,20230921,1
301,20230921,1
14601,20230921,1
8701,20230921,1
1601,20230922,1
301,20230922,1
14601,20230922,1
8701,20230922,1
14602,20230923,1
14702,20230923,1
703,20230924,1
14703,20230924,1
1601,20230925,1
301,20230925,1
14601,20230925,1
8701,20230925,1
1601,20230926,1
301,20230926,1
14601,20230926,1
8701,20230926,1
1601,20230927,1
301,20230927,1
14601,20230927,1
8701,20230927,1
1601,20230928,1
301,20230928,1
14601,20230928,1
8701,20230928,1
1601,20230929,1
301,20230929,1
14601,20230929,1
8701,20230929,1
14602,20230930,1
14702,20230930,1
14703,20231001,1
1601,20231002,1
301,20231002,1
14601,20231002,1
8701,20231002,1
1601,20231003,1
301,20231003,1
14601,20231003,1
8701,20231003,1
1601,20231004,1
301,20231004,1
14601,20231004,1
8701,20231004,1
1601,20231005,1
301,20231005,1
14601,20231005,1
8701,20231005,1
1601,20231006,1
301,20231006,1
14601,20231006,1
8701,20231006,1
14602,20231007,1
14702,20231007,1
703,20231008,1
14703,20231008,1
707,20231009,1
14707,20231009,1
7,20231009,1
1,20231009,2
1601,20231010,1
301,20231010,1
14601,20231010,1
8701,20231010,1
1601,20231011,1
301,20231011,1
14601,20231011,1
8701,20231011,1
1601,20231012,1
301,20231012,1
14601,20231012,1
8701,20231012,1
1601,20231013,1
301,20231013,1
14601,20231013,1
8701,20231013,1
14602,20231014,1
14702,20231014,1
703,20231015,1
