route_id,shape_pt_lat,shape_pt_lon
01,43.252444,-79.868400,0
01,43.252420,-79.868347,0
01,43.252399,-79.868272,0
01,43.252344,-79.868038,0
01,43.252496,-79.867983,0
01,43.252879,-79.867841,0
01,43.253013,-79.867790,0
01,43.253159,-79.867734,0
01,43.253416,-79.867610,0
01,43.253851,-79.867421,0
01,43.254566,-79.867108,0
01,43.254738,-79.867032,0
01,43.254575,-79.866351,0
01,43.254461,-79.865872,0
01,43.254426,-79.865735,0
01,43.254179,-79.864763,0
01,43.253966,-79.863962,0
01,43.253858,-79.863572,0
01,43.253742,-79.863152,0
01,43.253586,-79.862596,0
01,43.253508,-79.862318,0
01,43.253259,-79.861437,0
01,43.253077,-79.860776,0
01,43.253007,-79.860520,0
01,43.252819,-79.859835,0
01,43.252759,-79.859604,0
01,43.252463,-79.858465,0
01,43.252419,-79.858294,0
01,43.252149,-79.857224,0
01,43.252030,-79.856753,0
01,43.251837,-79.855982,0
01,43.251589,-79.854996,0
01,43.251554,-79.854860,0
01,43.251334,-79.854017,0
01,43.251315,-79.853943,0
01,43.251296,-79.853870,0
01,43.251278,-79.853796,0
01,43.251260,-79.853723,0
01,43.251251,-79.853688,0
01,43.251241,-79.853649,0
01,43.251222,-79.853576,0
01,43.251203,-79.853502,0
01,43.251184,-79.853428,0
01,43.251176,-79.853396,0
01,43.251165,-79.853355,0
01,43.251146,-79.853281,0
01,43.250967,-79.852591,0
01,43.250832,-79.852074,0
01,43.250688,-79.851520,0
01,43.250473,-79.850687,0
01,43.250464,-79.850655,0
01,43.250344,-79.850190,0
01,43.250237,-79.849769,0
01,43.249901,-79.848444,0
01,43.249829,-79.848163,0
01,43.249605,-79.847290,0
01,43.249301,-79.846105,0
01,43.249067,-79.845135,0
01,43.249009,-79.844906,0
01,43.248912,-79.844525,0
01,43.248720,-79.843775,0
01,43.248557,-79.843132,0
01,43.248468,-79.842788,0
01,43.248278,-79.842049,0
01,43.248220,-79.841828,0
01,43.248050,-79.841166,0
01,43.248022,-79.841057,0
01,43.247971,-79.840863,0
01,43.247729,-79.839926,0
01,43.247473,-79.838940,0
01,43.247466,-79.838914,0
01,43.247363,-79.838535,0
01,43.247217,-79.837999,0
01,43.247096,-79.837554,0
01,43.247004,-79.837217,0
01,43.246963,-79.837066,0
01,43.246719,-79.836169,0
01,43.246613,-79.835778,0
01,43.246508,-79.835392,0
01,43.246479,-79.835284,0
01,43.246319,-79.834689,0
01,43.246212,-79.834293,0
01,43.246156,-79.834084,0
01,43.246057,-79.833725,0
01,43.245946,-79.833319,0
01,43.245717,-79.832482,0
01,43.245714,-79.832470,0
01,43.245556,-79.831886,0
01,43.245482,-79.831609,0
01,43.245293,-79.830909,0
01,43.245251,-79.830754,0
01,43.245023,-79.829910,0
01,43.244989,-79.829783,0
01,43.244777,-79.828920,0
01,43.244535,-79.827934,0
01,43.244524,-79.827887,0
01,43.244294,-79.826951,0
01,43.244165,-79.826423,0
01,43.244115,-79.826219,0
01,43.244065,-79.826014,0
01,43.244015,-79.825810,0
01,43.243964,-79.825606,0
01,43.243913,-79.825402,0
01,43.243861,-79.825199,0
01,43.243809,-79.824996,0
01,43.243756,-79.824793,0
01,43.243702,-79.824590,0
01,43.243648,-79.824388,0
01,43.243589,-79.824128,0
01,43.243575,-79.824067,0
01,43.243527,-79.823835,0
01,43.243486,-79.823639,0
01,43.243303,-79.822862,0
01,43.243302,-79.822860,0
01,43.243066,-79.821875,0
01,43.242802,-79.820772,0
01,43.242595,-79.819907,0
01,43.242555,-79.819733,0
01,43.242325,-79.818744,0
01,43.242101,-79.817777,0
01,43.242075,-79.817664,0
01,43.241879,-79.816811,0
01,43.241657,-79.815848,0
01,43.241643,-79.815784,0
01,43.241486,-79.815110,0
01,43.241434,-79.814870,0
01,43.241401,-79.814716,0
01,43.241233,-79.813879,0
01,43.241039,-79.812910,0
01,43.241033,-79.812878,0
01,43.240841,-79.811903,0
01,43.240748,-79.811428,0
01,43.240652,-79.810916,0
01,43.240552,-79.810387,0
01,43.240465,-79.809985,0
01,43.240452,-79.809930,0
01,43.240324,-79.809392,0
01,43.240244,-79.809086,0
01,43.240217,-79.808982,0
01,43.240164,-79.808779,0
01,43.240084,-79.808472,0
01,43.240006,-79.808165,0
01,43.239977,-79.808051,0
01,43.239928,-79.807858,0
01,43.239850,-79.807549,0
01,43.239773,-79.807242,0
01,43.239749,-79.807145,0
01,43.239697,-79.806934,0
01,43.239621,-79.806625,0
01,43.239545,-79.806316,0
01,43.239331,-79.805450,0
01,43.239322,-79.805411,0
01,43.239259,-79.805164,0
01,43.239247,-79.805116,0
01,43.239234,-79.805069,0
01,43.239220,-79.805020,0
01,43.239210,-79.804981,0
01,43.239207,-79.804972,0
01,43.239194,-79.804925,0
01,43.239181,-79.804877,0
01,43.239167,-79.804829,0
01,43.239153,-79.804781,0
01,43.239139,-79.804734,0
01,43.239125,-79.804686,0
01,43.239082,-79.804551,0
01,43.239022,-79.804364,0
01,43.238930,-79.804059,0
01,43.238808,-79.803656,0
01,43.238542,-79.802777,0
01,43.238511,-79.802676,0
01,43.238376,-79.802220,0
01,43.238341,-79.802141,0
01,43.238322,-79.802089,0
01,43.238301,-79.802036,0
01,43.238280,-79.801984,0
01,43.238258,-79.801934,0
01,43.238235,-79.801884,0
01,43.238211,-79.801834,0
01,43.238202,-79.801816,0
01,43.238186,-79.801785,0
01,43.238161,-79.801737,0
01,43.238135,-79.801690,0
01,43.238108,-79.801651,0
01,43.238081,-79.801614,0
01,43.238054,-79.801577,0
01,43.238025,-79.801541,0
01,43.237996,-79.801507,0
01,43.237966,-79.801472,0
01,43.237937,-79.801439,0
01,43.237906,-79.801407,0
01,43.237875,-79.801374,0
01,43.237843,-79.801344,0
01,43.237608,-79.801153,0
01,43.237570,-79.801122,0
01,43.237497,-79.801063,0
01,43.237473,-79.801043,0
