stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1001,2939,ABERDEEN at CHEDOKE,ABERDEEN AV & CHEDOKE AV,43.251863,-79.896418,,,,,,0
1002,2940,ABERDEEN at COTTAGE,ABERDEEN AV & COTTAGE AV,43.250371,-79.890369,,,,,,0
1003,2952,ABERDEEN opposite COTTAGE,ABERDEEN AV & COTTAGE AV OPP,43.250463,-79.890115,,,,,,0
1004,2952,ABERDEEN at DUNDURN,ABERDEEN AV & DUNDURN ST S,43.250967,-79.892346,,,,,,0
1005,2940,ABERDEEN at DUNDURN,ABERDEEN AV & DUNDURN ST,43.250953,-79.892967,,,,,,0
1006,2952,ABERDEEN at KENT,ABERDEEN AV & KENT ST,43.249371,-79.885379,,,,,,0
1007,2941,ABERDEEN at KENT,ABERDEEN AV & KENT ST,43.249278,-79.885615,,,,,,0
1008,2952,ABERDEEN at LOCKE,ABERDEEN AV & LOCKE ST,43.24996,-79.887884,,,,,,0
1009,2955,ABERDEEN at LONGWOOD,ABERDEEN AV & LONGWOOD RD,43.253356,-79.901766,,,,,,0
1010,2939,ABERDEEN opposite LONGWOOD,ABERDEEN AV & LONGWOOD RD OPP,43.253114,-79.901472,,,,,,0
1011,2953,ABERDEEN opposite CHEDOKE,ABERDEEN AV & CHEDOKE AV,43.251998,-79.896579,,,,,,0
1012,2941,ABERDEEN at SPRUCESIDE,ABERDEEN AV & SPRUCESIDE AV,43.248831,-79.883747,,,,,,0
1013,2939,ABERDEEN at STUDHOLME,ABERDEEN AV & STUDHOLME AV,43.252588,-79.899439,,,,,,0
1014,2953,ABERDEEN opposite STUDHOLME,ABERDEEN AV & STUDHOLME RD OPP,43.252796,-79.899563,,,,,,0
1015,2941,ABERDEEN at UNDERMOUNT,ABERDEEN AV & UNDERMOUNT AV,43.249761,-79.887735,,,,,,0
1017,2630,AMBERLY opposite BLOOMSBURY,0 AMBERLY BV & BLOOMSBURY CT,43.207556,-79.985157,,,,,,0
1018,2632,AMBERLY opposite CHIPPENDALE,AMBERLY BV & CHIPPENDALE AV OPP (#265),43.207699,-79.998995,,,,,,0
1019,2621,AMBERLY at SUNNYMEADE,AMBERLY BV & SUNNYMEADE DR OPP (#257),43.207392,-79.999086,,,,,,0
1020,2622,AMBERLY at COTTINGHAM WEST,AMBERLY BV & COTTINGHAM CT (WEST LEG),43.206743,-79.989295,,,,,,0
1021,2622,AMBERLY at FIDDLERS GREEN,AMBERLY BV & FIDDLER'S GREEN RD,43.207646,-79.984471,,,,,,0
1022,2631,AMBERLY at LEITH COURT,AMBERLY BV & LEITH CT,43.206783,-79.989757,,,,,,0
1023,2621,AMBERLY at MELANIE WEST,AMBERLY BV & MELANIE CT (WEST LEG),43.206665,-79.993977,,,,,,0
1024,2631,AMBERLY opposite MELANIE WEST,AMBERLY BV & MELANIE CT (WEST LEG) OPP (#161),43.206864,-79.993661,,,,,,0
1025,2632,AMBERLY at WILSON,AMBERLY BV & WILSON ST W,43.209311,-79.99926,,,,,,0
1027,2624,ANSON at GARNER,ANSON DR & GARNER RD E,43.202791,-79.978652,,,,,,0
1028,2091,ARKLEDUN opposite KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247211,-79.868623,,,,,,0
1030,2028,ARKLEDUN at KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247014,-79.868585,,,,,,0
1032,2541,At 596 ARVIN,ARVIN AV & #596,43.226226,-79.702306,,,,,,0
1033,2541,At 560 ARVIN,ARVIN AV & #560,43.227166,-79.706317,,,,,,0
1034,2541,At 576 ARVIN,ARVIN AV & #576,43.226683,-79.704268,,,,,,0
1035,2541,ARVIN at FRUITLAND,ARVIN AV & FRUITLAND RD,43.225516,-79.699353,,,,,,0
1036,2945,AUGUSTA at JAMES,AUGUSTA ST & JAMES ST,43.251991,-79.870456,,,,,,0
1037,2945,AUGUSTA at JOHN,AUGUSTA ST & JOHN ST,43.251596,-79.868799,,,,,,0
1040,1212,At 2553 BARTON,BARTON ST E & #2553 W LAKE AV,43.235614,-79.755035,,,,,,0
1041,1261,Opposite 2553 BARTON,BARTON ST E & #2553 OPP,43.235695,-79.755827,,,,,,0
1042,1262,At 2772 BARTON,BARTON ST E & #2772 W BELL MANOR ST,43.23334,-79.744993,,,,,,0
1043,1220,BARTON at ADELINE,BARTON ST E & ADELINE AV,43.245587,-79.791032,,,,,,0
1044,1250,BARTON at AGNES,BARTON ST E & AGNES ST,43.250583,-79.812716,,,,,,0
1045,1245,BARTON at BARNESDALE,BARTON ST E & BARNESDALE AV,43.255712,-79.833342,,,,,,0
1046,1228,BARTON at BARNESDALE,BARTON ST E & BARNESDALE AV,43.255824,-79.833199,,,,,,0
1048,1207,BELL MANOR LOOP PLATFORM 2,BELLMANOR LOOP & BARTON ST,43.232886,-79.742792,,,,,,0
1050,1248,BARTON opposite LINCOLN,BARTON ST E & LINCOLN ST OPP,43.252758,-79.821686,,,,,,0
1051,1244,BARTON at BIRCH,BARTON ST E & BIRCH AV,43.257451,-79.840021,,,,,,0
1052,1229,BARTON at BIRCH,BARTON ST E & BIRCH AV,43.257495,-79.839629,,,,,,0
1053,1262,BARTON at BOW VALLEY,BARTON ST E & BOW VALLEY DR,43.233974,-79.748286,,,,,,0
1054,1210,BARTON opposite BOW VALLEY,BARTON ST E & BOW VALLEY DR OPP,43.234224,-79.748342,,,,,,0
1055,1210,BARTON at BROCKLEY,BARTON ST E & BROCKLEY DR,43.233946,-79.746862,,,,,,0
1056,1247,BARTON at CAVELL,BARTON ST E & CAVELL AV,43.253342,-79.824202,,,,,,0
1057,1225,BARTON at CAVELL,BARTON ST E & CAVELL AV,43.253406,-79.823814,,,,,,0
1058,1260,BARTON at CENTENNIAL,BARTON ST E & CENTENNIAL PY N,43.23704,-79.761544,,,,,,0
1059,1212,BARTON at CENTENNIAL,BARTON ST E & CENTENNIAL PY N,43.23681,-79.760057,,,,,,0
1060,1346,BARTON at CHESTNUT,BARTON ST E & CHESTNUT AV,43.256913,-79.838065,,,,,,0
1062,1222,BARTON at COPE,BARTON ST E & COPE ST,43.248217,-79.801467,,,,,,0
1063,1212,BARTON at COVINGTON,BARTON ST E & COVINGTON ST,43.236216,-79.757469,,,,,,0
1064,1229,BARTON at EARL,BARTON ST E & EARL ST,43.256996,-79.837821,,,,,,0
1065,1230,BARTON at EMERALD,BARTON ST E & EMERALD ST,43.260439,-79.850765,,,,,,0
1066,1243,BARTON at EMERALD,BARTON ST E & EMERALD ST,43.260356,-79.851034,,,,,,0
1067,1252,BARTON opposite FAIRFIELD,BARTON ST E & FAIRFIELD AV,43.247254,-79.798516,,,,,,0
1068,1232,BARTON at FERGUSON,BARTON ST E & FERGUSON AV,43.262416,-79.858553,,,,,,0
1069,1242,BARTON at FERGUSON,BARTON ST E & FERGUSON AV,43.262196,-79.858392,,,,,,0
1070,1224,BARTON opposite FRASER,BARTON ST E & FRASER AV OPP,43.250886,-79.813192,,,,,,0
1071,1250,BARTON at FREDERICK,BARTON ST E & FREDERICK ST,43.250227,-79.811098,,,,,,0
1072,1223,BARTON opposite FREDERICK,BARTON ST E & FREDERICK ST OPP,43.25048,-79.811379,,,,,,0
1073,1246,BARTON at GAGE,BARTON ST E & GAGE AV N,43.253852,-79.826358,,,,,,0
1074,1226,BARTON at GAGE,BARTON ST E & GAGE AV N,43.254016,-79.826461,,,,,,0
1075,2533,BARTON at GRAYS,BARTON ST E & GRAYS RD,43.232555,-79.740816,,,,,,0
1076,2564,BARTON at GRAYS,BARTON ST & GRAYS RD,43.23257,-79.739873,,,,,,0
1077,1251,BARTON at HARMONY,BARTON ST E & HARMONY AV,43.24872,-79.804323,,,,,,0
1078,1222,BARTON at HARMONY,BARTON ST E & HARMONY AV,43.248827,-79.804169,,,,,,0
1079,1232,BARTON at HUGHSON,BARTON ST E & HUGHSON ST N,43.26375,-79.86433,,,,,,0
1081,1214,BARTON at KENILWORTH,BARTON ST E & KENILWORTH AV,43.249191,-79.806452,,,,,,0
1082,1223,BARTON at KENILWORTH,BARTON ST E & KENILWORTH AV,43.249488,-79.806864,,,,,,0
1083,1258,BARTON at KENORA,BARTON ST E & KENORA AV,43.238016,-79.765764,,,,,,0
1084,1213,BARTON at KENORA,BARTON ST E & KENORA AV,43.238093,-79.765203,,,,,,0
1085,1261,BARTON at LAKE,BARTON ST E & LAKE AV,43.234921,-79.752968,,,,,,0
1086,1211,BARTON at LAKE,BARTON ST E & LAKE AV,43.235026,-79.752382,,,,,,0
1087,1246,BARTON at LEINSTER,BARTON ST E & LEINSTER AV,43.254524,-79.828794,,,,,,0
1088,1227,BARTON at CHAPPLE,BARTON ST E & CHAPPLE,43.25457,-79.828378,,,,,,0
1089,1225,BARTON at LINCOLN,BARTON ST E & LINCOLN ST,43.252844,-79.8214,,,,,,0
