trip_headsign,shape_id,wheelchair_accessible,service_id,route_id,block_id,direction_id,trip_id,trip_short_name,wheelchair_boarding,bikes_allowed
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485966,0,2065449,,1,1
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485965,0,2065448,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485739,0,2062498,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485737,0,2062499,,1,1
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485966,0,2065444,,1,1
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485968,0,2065445,,1,1
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485963,0,2065446,,1,1
16f - GARNER at WILSON via FIDDLERS GREEN,33049,0,2_merged_2137300,5508,a_485964,0,2065447,,1,1
16 - GARNER at WILSON via WILSON,33050,0,2_merged_2137300,5508,a_485967,0,2065440,,1,1
16 - GARNER at WILSON via WILSON,33050,0,2_merged_2137300,5508,a_485968,0,2065441,,1,1
16 - GARNER at WILSON via WILSON,33050,0,2_merged_2137300,5508,a_485969,0,2065442,,1,1
16 - GARNER at WILSON via WILSON,33050,0,2_merged_2137300,5508,a_485964,0,2065443,,1,1
FRANK A. COOKE TERMINAL,33071,0,2_merged_2137300,5515,a_486144,1,2068321,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485740,0,2062496,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485738,0,2062497,,1,1
FRANK A. COOKE TERMINAL,33071,0,2_merged_2137300,5515,a_486143,1,2068326,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485739,0,2062494,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485715,1,2062148,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485716,1,2062149,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485737,0,2062495,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485716,1,2062140,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485714,1,2062141,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485715,1,2062142,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485716,1,2062143,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485714,1,2062144,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485715,1,2062145,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485716,1,2062146,,1,1
HAMILTON GO CENTRE,33003,0,3_merged_2137299,5498,a_485714,1,2062147,,1,1
MEADOWLANDS TERMINAL,33270,0,2_merged_2137309,5564,b_490175,0,2132186,,1,1
MEADOWLANDS TERMINAL,33269,0,2_merged_2137309,5564,b_490176,0,2132187,,1,1
MEADOWLANDS TERMINAL,33270,0,2_merged_2137309,5564,b_490180,0,2132184,,1,1
MEADOWLANDS TERMINAL,33269,0,2_merged_2137309,5564,b_490178,0,2132185,,1,1
MEADOWLANDS TERMINAL,33270,0,2_merged_2137309,5564,b_490322,0,2132182,,1,1
MEADOWLANDS TERMINAL,33269,0,2_merged_2137309,5564,b_490177,0,2132183,,1,1
MEADOWLANDS TERMINAL,33270,0,2_merged_2137309,5564,b_490176,0,2132180,,1,1
MEADOWLANDS TERMINAL,33269,0,2_merged_2137309,5564,b_490182,0,2132181,,1,1
4 - MOUNT ALBION LOOP via BURLINGTON STREET,33004,0,3_merged_2137299,5499,a_485737,0,2062491,,1,1
MEADOWLANDS TERMINAL,33269,0,2_merged_2137309,5564,b_490322,0,2132188,,1,1
MEADOWLANDS TERMINAL,33270,0,2_merged_2137309,5564,b_490177,0,2132189,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486099,1,2073638,,1,1
FRANK A. COOKE TERMINAL,33069,0,1601_merged_2137304,5514,a_486454,1,2073639,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486073,1,2066793,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486071,1,2066792,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486071,1,2066795,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486072,1,2066794,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486072,1,2066797,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486073,1,2066796,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486073,1,2066799,,1,1
FRANK A. COOKE TERMINAL,33061,0,3_merged_2137299,5511,a_486071,1,2066798,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486098,1,2073632,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486451,1,2073633,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486099,1,2073634,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486451,1,2073635,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486099,1,2073636,,1,1
FRANK A. COOKE TERMINAL,33069,0,1_merged_2137298,5514,a_486451,1,2073637,,1,1
