route_id,shape_pt_lat,shape_pt_lon
1,43.517746,-79.690628,0
1,43.517791,-79.690616,0
1,43.517836,-79.690606,0
1,43.517883,-79.690598,0
1,43.517931,-79.690592,0
1,43.517978,-79.690588,0
1,43.518024,-79.690586,0
1,43.518482,-79.690575,0
1,43.519708,-79.690605,0
1,43.519860,-79.690609,0
1,43.520254,-79.690601,0
1,43.520294,-79.690589,0
1,43.520339,-79.690577,0
1,43.520380,-79.690566,0
1,43.520427,-79.690545,0
1,43.520474,-79.690529,0
1,43.520512,-79.690514,0
1,43.520563,-79.690489,0
1,43.520606,-79.690466,0
1,43.520649,-79.690440,0
1,43.520732,-79.690388,0
1,43.520808,-79.690324,0
1,43.520890,-79.690250,0
1,43.520952,-79.690191,0
1,43.521003,-79.690139,0
1,43.521036,-79.690103,0
1,43.521816,-79.689250,0
1,43.522041,-79.689017,0
1,43.522187,-79.688864,0
1,43.523600,-79.687333,0
1,43.523710,-79.687213,0
1,43.523920,-79.686981,0
1,43.524203,-79.686674,0
1,43.524465,-79.686393,0
1,43.525261,-79.685550,0
1,43.525479,-79.685319,0
1,43.525351,-79.685141,0
1,43.524641,-79.684157,0
1,43.524525,-79.684000,0
1,43.522786,-79.681634,0
1,43.523310,-79.681069,0
1,43.520520,-79.684064,1
1,43.520360,-79.684236,1
1,43.518111,-79.686698,1
1,43.517898,-79.686924,1
1,43.517744,-79.687087,1
1,43.515733,-79.689265,1
1,43.515549,-79.689464,1
1,43.515925,-79.689962,1
1,43.515970,-79.690022,1
1,43.516105,-79.690212,1
1,43.516234,-79.690408,1
1,43.516359,-79.690612,1
1,43.516478,-79.690821,1
1,43.516671,-79.691163,1
1,43.516783,-79.691363,1
1,43.517079,-79.691058,1
1,43.517107,-79.691028,1
1,43.517144,-79.690990,1
1,43.517183,-79.690952,1
1,43.517222,-79.690916,1
1,43.517262,-79.690882,1
1,43.517304,-79.690850,1
1,43.517345,-79.690820,1
1,43.517387,-79.690791,1
1,43.517430,-79.690765,1
1,43.517473,-79.690739,1
1,43.517517,-79.690716,1
1,43.517562,-79.690695,1
1,43.517607,-79.690675,1
1,43.517652,-79.690657,1
1,43.517698,-79.690641,1
1,43.543431,-79.684004,2
1,43.544324,-79.685271,2
1,43.544496,-79.685512,2
1,43.544522,-79.685544,2
1,43.544554,-79.685585,2
1,43.544633,-79.685658,2
1,43.544780,-79.685744,2
1,43.544863,-79.685527,2
1,43.544931,-79.685372,2
1,43.544990,-79.685255,2
1,43.545074,-79.685092,2
1,43.545150,-79.684961,2
1,43.545244,-79.684814,2
1,43.545486,-79.684490,2
1,43.545573,-79.684381,2
1,43.545751,-79.684144,2
1,43.545960,-79.683874,2
1,43.546428,-79.683269,2
1,43.547167,-79.682342,2
1,43.547203,-79.682297,2
1,43.547245,-79.682243,2
1,43.547285,-79.682186,2
1,43.547324,-79.682129,2
1,43.547363,-79.682070,2
1,43.547400,-79.682011,2
1,43.547435,-79.681950,2
1,43.547471,-79.681889,2
1,43.547504,-79.681825,2
1,43.547537,-79.681760,2
1,43.547568,-79.681695,2
1,43.547598,-79.681628,2
1,43.547627,-79.681560,2
1,43.547655,-79.681491,2
1,43.547681,-79.681421,2
1,43.547707,-79.681351,2
1,43.547730,-79.681280,2
1,43.547753,-79.681208,2
1,43.548274,-79.679544,2
1,43.547848,-79.679310,2
1,43.547516,-79.679123,2
1,43.547447,-79.679084,2
1,43.547362,-79.679035,2
1,43.547279,-79.678976,2
1,43.547201,-79.678910,2
1,43.547155,-79.678865,2
1,43.547153,-79.678863,2
1,43.547083,-79.678783,2
1,43.546987,-79.678673,2
1,43.546807,-79.678442,2
1,43.546406,-79.677925,2
1,43.546247,-79.677713,2
1,43.546209,-79.677659,2
1,43.546172,-79.677628,2
1,43.546094,-79.677565,2
1,43.546017,-79.677507,2
1,43.545968,-79.677475,2
1,43.545936,-79.677458,2
1,43.545816,-79.677424,2
1,43.545595,-79.677382,2
1,43.545295,-79.677311,2
1,43.545337,-79.676891,2
1,43.545340,-79.676865,2
1,43.545341,-79.676834,2
1,43.545345,-79.676774,2
1,43.545351,-79.676715,2
1,43.545358,-79.676656,2
1,43.545366,-79.676597,2
1,43.545376,-79.676540,2
1,43.545387,-79.676481,2
1,43.545400,-79.676424,2
1,43.545413,-79.676367,2
1,43.545429,-79.676312,2
1,43.545445,-79.676256,2
1,43.545464,-79.676201,2
1,43.545483,-79.676147,2
1,43.545503,-79.676095,2
1,43.545525,-79.676044,2
1,43.545548,-79.675992,2
1,43.545572,-79.675942,2
1,43.545790,-79.675532,2
1,43.546128,-79.674853,2
1,43.546145,-79.674808,2
1,43.546165,-79.674751,2
1,43.546184,-79.674692,2
1,43.546201,-79.674634,2
1,43.546217,-79.674574,2
1,43.546232,-79.674513,2
1,43.546246,-79.674452,2
1,43.546257,-79.674390,2
1,43.546268,-79.674328,2
1,43.546278,-79.674266,2
1,43.546285,-79.674202,2
1,43.546291,-79.674139,2
1,43.546297,-79.674076,2
1,43.546303,-79.673950,2
1,43.546302,-79.673822,2
1,43.546300,-79.673758,2
1,43.546296,-79.673695,2
1,43.546277,-79.673504,2
1,43.546267,-79.673443,2
1,43.546244,-79.673318,2
1,43.546231,-79.673258,2
1,43.546216,-79.673198,2
1,43.546200,-79.673137,2
1,43.546182,-79.673078,2
1,43.546163,-79.673021,2
1,43.546143,-79.672963,2
1,43.546121,-79.672906,2
1,43.546098,-79.672851,2
1,43.546074,-79.672796,2
1,43.546049,-79.672743,2
1,43.546023,-79.672691,2
1,43.545995,-79.672639,2
1,43.545966,-79.672589,2
1,43.545935,-79.672525,2
1,43.545824,-79.672325,2
1,43.545612,-79.671917,2
1,43.545592,-79.671881,2
1,43.545549,-79.671802,2
1,43.545509,-79.671723,2
1,43.545470,-79.671643,2
1,43.545431,-79.671562,2
1,43.545394,-79.671480,2
1,43.545359,-79.671397,2
1,43.545324,-79.671312,2
1,43.545292,-79.671227,2
1,43.545259,-79.671141,2
1,43.545228,-79.671054,2
1,43.545199,-79.670966,2
1,43.545171,-79.670877,2
1,43.545144,-79.670787,2
1,43.545119,-79.670698,2
1,43.545095,-79.670607,2
1,43.545073,-79.670514,2
1,43.545051,-79.670423,2
1,43.545031,-79.670331,2
1,43.545013,-79.670237,2
1,43.544995,-79.670143,2
1,43.544980,-79.670050,2
1,43.544965,-79.669955,2
1,43.544952,-79.669860,2
1,43.544941,-79.669765,2
1,43.544922,-79.669573,2
1,43.544914,-79.669420,2
1,43.544872,-79.668600,2
1,43.544868,-79.668531,2
1,43.544869,-79.668466,2
1,43.544867,-79.668416,2
1,43.544865,-79.668351,2
1,43.544861,-79.668287,2
1,43.544857,-79.668223,2
1,43.544850,-79.668159,2
1,43.544843,-79.668096,2
1,43.544833,-79.668033,2
1,43.544822,-79.667970,2
1,43.544811,-79.667907,2
1,43.544797,-79.667845,2
1,43.544782,-79.667785,2
1,43.544766,-79.667723,2
1,43.544749,-79.667664,2
1,43.544731,-79.667605,2
1,43.544710,-79.667546,2
1,43.544689,-79.667490,2
1,43.544667,-79.667434,2
1,43.544646,-79.667386,2
1,43.544618,-79.667323,2
1,43.544591,-79.667271,2
1,43.544563,-79.667218,2
1,43.544535,-79.667168,2
1,43.544505,-79.667118,2
1,43.544474,-79.667069,2
1,43.544442,-79.667023,2
1,43.544409,-79.666976,2
1,43.544375,-79.666932,2
1,43.544341,-79.666889,2
1,43.544300,-79.666852,2
1,43.544263,-79.666812,2
1,43.544215,-79.666759,2
1,43.544159,-79.666690,2
1,43.544038,-79.666538,2
1,43.543858,-79.666300,2
1,43.543683,-79.666048,2
1,43.543621,-79.665932,2
1,43.543596,-79.665883,2
1,43.543572,-79.665832,2
1,43.543550,-79.665781,2
1,43.543528,-79.665728,2
1,43.543509,-79.665675,2
1,43.543490,-79.665621,2
1,43.543473,-79.665566,2
1,43.543457,-79.665511,2
1,43.543443,-79.665454,2
1,43.543430,-79.665397,2
1,43.543418,-79.665339,2
1,43.543408,-79.665281,2
1,43.543398,-79.665224,2
1,43.543392,-79.665173,2
1,43.543391,-79.665164,2
1,43.543385,-79.665105,2
1,43.543380,-79.665046,2
1,43.543377,-79.664986,2
1,43.543375,-79.664926,2
1,43.543374,-79.664866,2
1,43.543378,-79.664747,2
1,43.543382,-79.664688,2
1,43.543388,-79.664628,2
1,43.543394,-79.664569,2
1,43.543432,-79.664349,2
1,43.543445,-79.664298,2
1,43.543461,-79.664233,2
1,43.543470,-79.664196,2
1,43.543489,-79.664136,2
1,43.543519,-79.664029,2
1,43.543533,-79.663996,2
1,43.543557,-79.663928,2
1,43.543576,-79.663878,2
1,43.543592,-79.663842,2
1,43.543610,-79.663797,2
1,43.543625,-79.663760,2
1,43.543651,-79.663713,2
1,43.543677,-79.663666,2
1,43.543705,-79.663622,2
1,43.543734,-79.663578,2
1,43.543763,-79.663537,2
1,43.543794,-79.663495,2
1,43.543826,-79.663456,2
1,43.543892,-79.663382,2
1,43.543926,-79.663348,2
1,43.543961,-79.663315,2
1,43.543998,-79.663283,2
1,43.544034,-79.663254,2
1,43.544072,-79.663226,2
1,43.544110,-79.663199,2
1,43.544411,-79.663020,2
1,43.544897,-79.662731,2
1,43.545652,-79.664213,2
1,43.545795,-79.664466,2
1,43.546691,-79.665800,2
