route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
304,26JA05-CPBlock-Weekday-11,29342672,304 W Father Goetz Ss To School,,1,2740964,3040015,1,1
321,26JA05-CPBlock-Weekday-11,29342673,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2740890,3210028,1,1
321,26JA05-CPBlock-Weekday-11,29342674,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2740891,3210028,1,1
315,26JA05-CPBlock-Weekday-11,29342675,315 S Rick Hansen Ss To City Centre,,1,2741104,3150021,1,1
321,26JA05-CPBlock-Weekday-11,29342676,321 S Stephen Lewis Ss To Artesian,,1,2741223,3210027,1,1
321,26JA05-CPBlock-Weekday-11,29342677,321 S Stephen Lewis Ss To Artesian,,1,2741094,3210029,1,1
313,26JA05-CPBlock-Weekday-11,29342678,313 N Streetsville Ss To Meadowvale,,0,2740850,3130015,1,1
314,26JA05-CPBlock-Weekday-11,29342679,314 S Rick Hansen Ss To School,,1,2741013,3140028,1,1
314,26JA05-CPBlock-Weekday-11,29342680,314 N Rick Hansen Ss To Bristol,,0,2741224,3140029,1,1
302,26JA05-CPBlock-Weekday-11,29342681,302 W Philip Pocock Ss To City Centre,,1,2740870,3020024,1,1
13,26JA05-CPBlock-Weekday-11,29342682,13 S Glen Erin To Clarkson Go,,1,2740984,130139,1,1
315,26JA05-CPBlock-Weekday-11,29342683,315 N Rick Hansen Ss To School,,0,2740872,3150022,1,1
307,26JA05-CPBlock-Weekday-11,29342684,307 E Philip Pocock Ss To Kipling Terminal,,0,2741221,3070032,1,1
4,26JA05-CPBlock-Weekday-11,29342685,4 W North Service Road To Cooksville Go,,1,2740923,40190,1,1
4,26JA05-CPBlock-Weekday-11,29342686,4 E North Service Road To Sherway Gardens,,0,2741087,40199,1,1
306,26JA05-CPBlock-Weekday-11,29342687,306 S Streetsville Ss To Mavis,,1,2741131,3060013,1,1
2,26JA05-CPBlock-Weekday-11,29342688,2 N Hurontario To City Centre,,0,2741127,20022,1,1
8,26JA05-CPBlock-Weekday-11,29342689,8 N Cawthra To City Centre,,0,2740957,80241,1,1
13,26JA05-CPBlock-Weekday-11,29342690,13 N Glen Erin To Meadowvale,,0,2740900,130137,1,1
13,26JA05-CPBlock-Weekday-11,29342691,13 N Glen Erin To Meadowvale,,0,2740901,130140,1,1
2,26JA05-CPBlock-Weekday-11,29342692,2 S Hurontario To Port Credit Go,,1,2740949,20019,1,1
36,26JA05-CPBlock-Weekday-11,29342693,36 N Ridgeway To Winston Churchill Station,,0,2740855,360044,1,1
36,26JA05-CPBlock-Weekday-11,29342694,36 S Ridgeway To South Common,,1,2740856,360041,1,1
29,26JA05-CPBlock-Weekday-11,29342695,29 S Park Royal To Clarkson Go,,1,2740891,290117,1,1
29,26JA05-CPBlock-Weekday-11,29342696,29 N Park Royal To South Common,,0,2740904,290118,1,1
36,26JA05-CPBlock-Weekday-11,29342697,36 N Ridgeway To Winston Churchill Station,,0,2741091,360044,1,1
8,26JA05-CPBlock-Weekday-11,29342698,8 N Cawthra To City Centre,,0,2740975,80245,1,1
8,26JA05-CPBlock-Weekday-11,29342699,8 N Cawthra To City Centre,,0,2740849,80241,1,1
46,26JA05-CPBlock-Weekday-11,29342700,46 S Tenth Line To Erin Mills Station,,1,2740973,460044,1,1
302,26JA05-CPBlock-Weekday-11,29342701,302 W Philip Pocock Ss To City Centre,,1,2740858,3020024,1,1
2,26JA05-CPBlock-Weekday-11,29342702,2 S Hurontario To Port Credit Go,,1,2741017,20019,1,1
313,26JA05-CPBlock-Weekday-11,29342703,313 N Streetsville Ss To Meadowvale,,0,2741226,3130015,1,1
20,26JA05-CPBlock-Weekday-11,29342704,20 E Rathburn To Kipling Terminal,,0,2740961,200115,1,1
20,26JA05-CPBlock-Weekday-11,29342705,20 E Rathburn To Kipling Terminal,,0,2741090,200115,1,1
20,26JA05-CPBlock-Weekday-11,29342706,20 W Rathburn To City Centre,,1,2741128,200114,1,1
3,26JA05-CPBlock-Weekday-11,29342707,3 W Bloor To City Centre,,1,2740955,30127,1,1
36,26JA05-CPBlock-Weekday-11,29342708,36 S Ridgeway To South Common,,1,2740857,360041,1,1
307,26JA05-CPBlock-Weekday-11,29342709,307 W Philip Pocock Ss To School,,1,2740876,3070033,1,1
313,26JA05-CPBlock-Weekday-11,29342710,313 S Streetsville Ss To School,,1,2740979,3130016,1,1
8,26JA05-CPBlock-Weekday-11,29342711,8 S Cawthra To Port Credit Go,,1,2740878,80246,1,1
6,26JA05-CPBlock-Weekday-11,29342712,6 E Credit Woodlands To City Centre,,0,2741101,60143,1,1
13,26JA05-CPBlock-Weekday-11,29342713,13 S Glen Erin To Clarkson Go,,1,2740983,130139,1,1
38,26JA05-CPBlock-Weekday-11,29342714,38 N Creditview To Meadowvale,,0,2741196,380285,1,1
38,26JA05-CPBlock-Weekday-11,29342715,38 S Creditview To Cooksville Go,,1,2740937,380284,1,1
10,26JA05-CPBlock-Weekday-11,29342716,10 S Bristol City Centre,,1,2740971,100198,1,1
