service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260208,20260314
2,0,0,0,0,0,1,0,20260208,20260314
3,0,0,0,0,0,0,1,20260208,20260314
4,0,0,0,0,0,0,0,20260208,20260314
401,0,0,0,0,0,0,0,20260208,20260314
501,0,0,0,0,0,0,0,20260208,20260314
6701,0,0,0,0,0,0,0,20260208,20260314
4401,0,0,0,0,0,0,0,20260208,20260314
4501,0,0,0,0,0,0,0,20260208,20260314
7001,0,0,0,0,0,0,0,20260208,20260314
6702,0,0,0,0,0,0,0,20260208,20260314
6703,0,0,0,0,0,0,0,20260208,20260314
6704,0,0,0,0,0,0,0,20260208,20260314
