service_id,date,exception_type
401,20240108,1
501,20240108,1
4401,20240108,1
401,20240109,1
501,20240109,1
4501,20240109,1
401,20240110,1
501,20240110,1
4401,20240110,1
401,20240111,1
501,20240111,1
4401,20240111,1
401,20240112,1
501,20240112,1
4501,20240112,1
401,20240115,1
501,20240115,1
4401,20240115,1
401,20240116,1
501,20240116,1
4501,20240116,1
401,20240117,1
501,20240117,1
4401,20240117,1
401,20240118,1
501,20240118,1
4401,20240118,1
401,20240119,1
501,20240119,1
4501,20240119,1
401,20240122,1
501,20240122,1
4401,20240122,1
401,20240123,1
501,20240123,1
4501,20240123,1
401,20240124,1
501,20240124,1
4401,20240124,1
401,20240125,1
501,20240125,1
4401,20240125,1
401,20240126,1
501,20240126,1
4501,20240126,1
401,20240129,1
501,20240129,1
4401,20240129,1
401,20240130,1
501,20240130,1
4501,20240130,1
401,20240131,1
501,20240131,1
4401,20240131,1
401,20240201,1
501,20240201,1
4401,20240201,1
401,20240202,1
501,20240202,1
4501,20240202,1
401,20240205,1
501,20240205,1
4401,20240205,1
401,20240206,1
501,20240206,1
4501,20240206,1
401,20240207,1
501,20240207,1
4401,20240207,1
401,20240208,1
501,20240208,1
4401,20240208,1
401,20240209,1
501,20240209,1
4501,20240209,1
401,20240212,1
501,20240212,1
4401,20240212,1
401,20240213,1
501,20240213,1
4501,20240213,1
401,20240214,1
501,20240214,1
4401,20240214,1
401,20240215,1
501,20240215,1
4401,20240215,1
401,20240216,1
501,20240216,1
4501,20240216,1
