route_short_name,route_long_name,dirName,dirTag,dirTitle,branch
10,10-Van Horne,West,10_1_10,West - 10 Van Horne towards Don Mills Station,10
10,10-Van Horne,East,10_0_10,East - 10 Van Horne towards Victoria Park,10
100,100-Flemingdon Park,North,100_1_100A,North - 100a Flemingdon Park towards Don Mills & Wynford,100A
100,100-Flemingdon Park,South,100_0_100A,South - 100a Flemingdon Park towards Broadview Station,100A
101,101-Downsview Park,South,101_0_101,South - 101 Downsview Park towards Stanley Greene Blvd,101
101,101-Downsview Park,North,101_1_101,North - 101 Downsview Park towards Downsview Park Station,101
102,102-Markham Rd.,South,102_0_102D,South - 102 Markham Rd towards Warden Station - Extra Fare Required North of Steeles,102
102,102-Markham Rd.,North,102_1_102Cam,North - 102c Markham Rd towards Steeles via Dynamic Dr,102C
102,102-Markham Rd.,North,102_1_102D,North - 102d Markham Rd towards Major Mackenzie - Extra Fare Required North of Steeles,102D
102,102-Markham Rd.,South,102_0_102Cpm,South - 102c Markham Rd towards Warden Station via Dynamic Dr,102C
104,104-Faywood,North,104_1_104,North - 104 Faywood towards Sheppard West Station,104
104,104-Faywood,South,104_0_104,South - 104 Faywood towards Wilson Station,104
105,105-Dufferin North,North,105_1_105A,North - 105a Dufferin North towards Steeles,105A
105,105-Dufferin North,South,105_0_105A,South - 105 Dufferin North towards Sheppard West Station,105
106,106-Sentinel,East,106_0_106,East - 106 Sentinel towards Sheppard West Station,106
106,106-Sentinel,West,106_1_106pv,West - 106 Sentinel towards  Pioneer Village Station,106
107,107-York University Heights,South,107_0_107Dwi,South - 107f York University Heights towards Wilson Station,107F
107,107-York University Heights,North,107_1_wi107D,North - 107d York University Heights towards Steeles via Alness and Supertest,107D
107,107-York University Heights,North,107_1_wi107A,North - 107a York University Heights  towards Steeles via Keele,107A
107,107-York University Heights,South,107_0_107A,South - 107a York University Heights  towards Sheppard West  Station via Alness,107A
107,107-York University Heights,South,107_0_107Cwi,South - 107f York University Heights towards Wilson Station,107F
107,107-York University Heights,North,107_1_107B,North - 107b York University Heights  towards Steeles via Alness,107B
108,108-Driftwood,East,108_0_108Cpv,East - 108c Driftwood towards Wilson Station via Arleta,108C
108,108-Driftwood,West,108_1_108C,West - 108b Driftwood towards Pioneer Village Station via Arleta,108B
108,108-Driftwood,West,108_1_108A,West - 108a Driftwood towards Pioneer Village Station via Grandravine,108A
108,108-Driftwood,East,108_0_108A,East - 108a Driftwood towards Sheppard West Station via Grandravine,108A
109,109-Ranee,North,109_1_109B,North - 109b Ranee towards Neptune via Marlee and Flemington,109B
109,109-Ranee,South,109_0_109C,South - 109c Ranee towards Eglinton West Station  via Varna and Marlee,109C
109,109-Ranee,South,109_0_109B,South - 109b Ranee towards Eglinton West Station  via Flemington and Marlee,109B
109,109-Ranee,North,109_1_109C,North - 109c Ranee towards Neptune via Marlee and Varna,109C
11,11-Bayview,North,11_1_11A,North - 11a Bayview towards Steeles via Sunnybrook,11A
