route_id,shape_pt_lat,shape_pt_lon
10,43.789038,-79.330471,0
10,43.789244,-79.329574,0
10,43.787992,-79.328993,0
10,43.785857,-79.327985,0
10,43.785722,-79.327921,0
10,43.785436,-79.329186,0
10,43.785015,-79.331019,0
10,43.784506,-79.333367,0
10,43.785316,-79.333747,0
10,43.786055,-79.334099,0
10,43.786623,-79.334366,0
10,43.787487,-79.334773,0
10,43.788019,-79.335012,0
10,43.775536,-79.346361,1
10,43.775521,-79.346449,1
10,43.775518,-79.346575,1
10,43.775544,-79.346697,1
10,43.775562,-79.346764,1
10,43.775585,-79.346802,1
10,43.775633,-79.346844,1
10,43.775924,-79.346974,1
10,43.776032,-79.346990,1
10,43.776118,-79.346959,1
10,43.776160,-79.346917,1
10,43.776195,-79.346861,1
10,43.776214,-79.346825,1
10,43.776221,-79.346795,1
10,43.776400,-79.346842,1
10,43.776471,-79.346867,1
10,43.776534,-79.346919,1
10,43.776575,-79.347015,1
10,43.776592,-79.347154,1
10,43.776567,-79.347383,1
10,43.776510,-79.347626,1
10,43.777121,-79.347885,1
10,43.778378,-79.348406,1
10,43.779078,-79.348725,1
10,43.779191,-79.348746,1
10,43.779323,-79.348751,1
10,43.779479,-79.348767,1
10,43.779651,-79.348796,1
10,43.779765,-79.348816,1
10,43.779873,-79.348822,1
10,43.779987,-79.348792,1
10,43.780104,-79.348769,1
10,43.780184,-79.348735,1
10,43.780257,-79.348706,1
10,43.780707,-79.348469,1
10,43.780917,-79.348381,1
10,43.781048,-79.348316,1
10,43.781189,-79.348281,1
10,43.781314,-79.348266,1
10,43.781423,-79.348255,1
10,43.781529,-79.348262,1
10,43.781635,-79.348277,1
10,43.781718,-79.348307,1
10,43.781795,-79.348337,1
10,43.781886,-79.348379,1
10,43.781987,-79.348427,1
10,43.782072,-79.348487,1
10,43.782152,-79.348544,1
10,43.782270,-79.348646,1
10,43.782484,-79.348853,1
10,43.782760,-79.349113,1
10,43.783355,-79.349656,1
10,43.783558,-79.349839,1
10,43.783760,-79.349997,1
10,43.783936,-79.350101,1
10,43.784105,-79.350195,1
10,43.784316,-79.350288,1
10,43.784489,-79.350353,1
10,43.784747,-79.350449,1
10,43.785180,-79.350632,1
10,43.785408,-79.350721,1
10,43.785584,-79.350823,1
10,43.785752,-79.350938,1
10,43.785881,-79.351085,1
10,43.786038,-79.351296,1
10,43.786162,-79.351479,1
10,43.786261,-79.351697,1
10,43.786375,-79.351893,1
10,43.786479,-79.352089,1
10,43.786542,-79.352195,1
10,43.786617,-79.352313,1
10,43.786702,-79.352435,1
10,43.786780,-79.352524,1
10,43.786867,-79.352623,1
10,43.786969,-79.352711,1
10,43.787060,-79.352803,1
10,43.787154,-79.352878,1
10,43.787255,-79.352947,1
10,43.787338,-79.353018,1
10,43.787642,-79.351645,1
10,43.787863,-79.350665,1
10,43.787916,-79.350423,1
10,43.787942,-79.350296,1
10,43.787963,-79.350164,1
10,43.787975,-79.350057,1
10,43.787996,-79.349907,1
10,43.788007,-79.349801,1
10,43.788009,-79.349687,1
10,43.788010,-79.349515,1
10,43.787997,-79.349152,1
10,43.787990,-79.348990,1
10,43.787957,-79.348679,1
10,43.787945,-79.348583,1
10,43.787894,-79.348306,1
10,43.787869,-79.348198,1
10,43.787843,-79.348116,1
10,43.787792,-79.347955,1
10,43.787761,-79.347846,1
10,43.787693,-79.347659,1
10,43.787640,-79.347518,1
10,43.787576,-79.347367,1
10,43.787514,-79.347225,1
10,43.787435,-79.347085,1
10,43.787011,-79.346188,1
10,43.786611,-79.345342,1
10,43.786553,-79.345182,1
10,43.786508,-79.345069,1
10,43.786463,-79.344920,1
10,43.786428,-79.344803,1
10,43.786397,-79.344703,1
10,43.786376,-79.344570,1
10,43.786346,-79.344425,1
10,43.786334,-79.344295,1
10,43.786323,-79.344191,1
10,43.786320,-79.344061,1
10,43.786311,-79.343938,1
10,43.786317,-79.343824,1
10,43.786333,-79.343461,1
10,43.786367,-79.343176,1
10,43.786531,-79.341879,1
10,43.786578,-79.341552,1
10,43.786678,-79.340867,1
10,43.786697,-79.340767,1
10,43.786722,-79.340675,1
10,43.786779,-79.340508,1
10,43.786838,-79.340310,1
10,43.786892,-79.340115,1
10,43.787205,-79.338729,1
10,43.787410,-79.337773,1
