route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
UP,20240617,20240617-4341,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4340,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4339,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4338,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4337,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4336,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4335,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4334,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4333,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4332,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4331,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4330,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4329,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4328,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4327,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4326,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4325,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4324,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4323,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4322,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4321,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4320,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4319,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4318,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4317,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4316,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4315,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4314,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4313,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4312,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4311,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4310,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4309,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4308,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4307,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4306,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4305,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4304,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4303,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4302,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4301,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4241,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4240,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4239,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4238,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4237,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4236,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4235,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4234,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4233,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4232,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4231,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4230,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4229,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4228,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4227,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4226,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4225,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4224,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4223,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4222,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4221,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4220,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4219,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4218,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4217,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4216,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4215,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4214,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4213,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4212,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4211,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4210,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4209,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4208,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4207,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4206,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4205,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4204,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4203,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4142,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4141,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4140,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4139,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4138,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4137,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4136,UP Express Union Station,1,UP02,PAUN,1,2
UP,20240617,20240617-4135,UP Express Pearson Airport,0,UP02,UNPA,1,2
UP,20240617,20240617-4134,UP Express Union Station,1,UP03,PAUN,1,2
UP,20240617,20240617-4133,UP Express Pearson Airport,0,UP03,UNPA,1,2
UP,20240617,20240617-4132,UP Express Union Station,1,UP04,PAUN,1,2
UP,20240617,20240617-4131,UP Express Pearson Airport,0,UP04,UNPA,1,2
UP,20240617,20240617-4130,UP Express Union Station,1,UP05,PAUN,1,2
UP,20240617,20240617-4129,UP Express Pearson Airport,0,UP05,UNPA,1,2
UP,20240617,20240617-4128,UP Express Union Station,1,UP01,PAUN,1,2
UP,20240617,20240617-4127,UP Express Pearson Airport,0,UP01,UNPA,1,2
UP,20240617,20240617-4126,UP Express Union Station,1,UP02,PAUN,1,2
