service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
498,20230101,20251231,1,1,1,1,1,1,1
499,20230101,20251231,1,1,1,1,1,1,1
494,20230101,20251231,0,0,0,0,0,0,1
495,20230101,20251231,1,1,1,1,1,1,1
496,20230101,20251231,1,1,1,1,1,1,1
497,20230101,20251231,1,1,1,1,1,1,1
490,20230101,20251231,1,1,1,1,1,1,1
491,20230101,20251231,0,0,0,0,0,1,0
492,20230101,20251231,1,1,1,1,1,1,1
540,20230101,20270705,0,0,0,0,0,1,1
541,20230101,20270705,1,1,1,1,0,1,1
269,20230101,20251231,0,1,0,1,0,1,0
537,20230101,20270702,0,1,0,1,0,0,0
536,20230101,20270630,1,0,1,0,1,0,0
535,20230101,20270702,1,0,1,0,1,0,0
534,20230101,20270609,0,0,1,0,1,0,1
533,20230101,20250101,0,0,1,0,1,0,1
371,20231024,20251231,1,1,1,1,1,0,1
539,20230101,20270705,1,1,1,1,1,1,1
538,20230101,20270702,0,0,0,0,0,0,1
270,20230101,20251231,0,0,1,0,1,0,1
397,20230101,20251231,0,0,0,0,0,0,1
396,20230101,20251231,0,1,0,1,0,0,0
112,20230101,20251231,1,0,0,0,1,0,0
278,20230101,20251231,0,1,0,0,0,0,0
279,20230101,20251231,0,0,0,0,1,0,0
525,20230101,20250101,0,1,0,0,0,0,1
526,20230101,20250101,0,0,0,1,0,1,0
520,20230101,20251231,1,1,1,1,1,1,1
449,20230101,20251231,1,1,1,1,1,1,0
448,20230101,20251231,0,0,0,0,0,1,0
443,20230101,20251231,1,1,1,1,1,1,1
442,20230101,20251231,1,1,1,1,1,1,1
446,20230101,20251231,0,0,0,0,0,1,0
445,20230101,20251231,1,1,1,1,1,0,1
444,20230101,20251231,1,1,1,1,1,1,1
388,20230101,20251231,0,0,0,0,0,1,0
519,20231027,20251231,0,0,0,0,1,1,1
518,20231024,20251231,1,1,1,1,1,1,0
511,20230101,20251231,0,0,0,0,0,1,1
510,20230101,20251231,1,1,1,1,1,0,0
513,20230101,20251231,1,1,1,1,1,1,1
512,20230101,20251231,1,1,1,1,1,1,1
433,20230101,20251231,0,0,0,0,0,1,1
517,20230101,20251231,1,1,1,1,1,1,1
516,20230101,20251231,1,1,1,1,1,1,1
458,20230101,20251231,1,1,1,1,1,1,1
459,20230101,20251231,1,1,1,1,1,1,1
450,20230101,20251231,1,1,1,1,1,1,1
451,20230101,20251231,1,1,1,1,1,1,1
452,20230101,20251231,1,1,1,1,1,0,1
453,20230101,20251231,1,1,1,1,1,1,0
454,20230101,20251231,1,1,1,1,1,1,1
455,20230101,20251231,1,1,1,1,1,1,1
456,20230101,20251231,1,1,1,1,1,0,1
482,20230101,20251231,1,1,1,1,1,1,0
508,20230101,20251231,1,1,1,1,1,1,1
504,20230101,20251231,0,0,1,0,1,0,1
505,20230101,20251231,0,0,1,0,1,0,1
502,20230101,20251231,1,1,1,1,1,1,1
503,20230101,20251231,1,1,1,1,1,1,1
500,20230101,20251231,1,1,1,1,1,1,1
501,20230101,20251231,1,1,1,1,1,1,1
467,20230101,20251231,1,1,1,1,1,0,0
466,20230101,20251231,1,1,1,1,1,1,1
461,20230101,20251231,1,1,1,1,1,1,1
460,20231026,20251231,0,0,0,1,1,0,1
463,20230101,20251231,1,1,1,1,1,1,1
462,20230101,20251231,1,1,1,1,1,1,1
91,20230101,20251231,1,1,1,1,1,1,1
93,20230101,20251231,1,1,1,1,1,1,1
95,20230101,20251231,0,0,0,0,1,0,0
111,20230101,20251231,0,0,1,0,0,0,1
554,20230101,20251231,1,1,1,1,1,1,1
489,20230101,20251231,1,1,1,1,1,1,1
488,20230101,20251231,1,1,1,1,1,1,1
487,20231027,20251231,0,0,0,0,1,0,1
486,20230101,20251231,1,1,1,1,1,1,1
485,20231027,20251231,1,0,0,0,1,0,1
484,20230101,20251231,0,0,0,0,0,1,0
434,20230101,20251231,1,1,1,1,1,0,0
481,20230101,20251231,1,1,1,1,1,0,1
514,20230101,20251231,0,0,0,0,0,0,1
472,20230101,20251231,1,1,1,1,1,1,1
473,20230101,20251231,1,1,1,1,1,1,1
470,20230101,20251231,1,1,1,1,1,1,1
471,20230101,20251231,1,1,1,1,1,0,0
476,20230101,20251231,1,1,1,1,1,1,1
477,20230101,20251231,1,1,1,1,1,1,1
474,20230101,20251231,1,1,1,1,1,0,1
475,20230101,20251231,1,1,1,1,1,1,1
478,20230101,20251231,1,1,1,1,1,1,1
479,20230101,20251231,1,1,1,1,1,1,1
557,20230619,20251231,1,1,1,1,1,0,0
