service_id,date,exception_type
140.24603.3,20240428,1
140.24610.1,20240429,1
140.24611.1,20240429,1
140.24612.1,20240429,1
140.24610.1,20240430,1
140.24611.1,20240430,1
140.24612.1,20240430,1
140.24610.1,20240501,1
140.24611.1,20240501,1
140.24612.1,20240501,1
140.24610.1,20240502,1
140.24611.1,20240502,1
140.24612.1,20240502,1
140.24610.1,20240503,1
140.24611.1,20240503,1
140.24612.1,20240503,1
140.24603.3,20240505,1
140.24610.1,20240506,1
140.24611.1,20240506,1
140.24612.1,20240506,1
140.24610.1,20240507,1
140.24611.1,20240507,1
140.24612.1,20240507,1
140.24610.1,20240508,1
140.24611.1,20240508,1
140.24612.1,20240508,1
140.24610.1,20240509,1
140.24611.1,20240509,1
140.24612.1,20240509,1
140.24610.1,20240510,1
140.24611.1,20240510,1
140.24612.1,20240510,1
140.24603.3,20240512,1
140.24610.1,20240513,1
140.24611.1,20240513,1
140.24612.1,20240513,1
140.24610.1,20240514,1
140.24611.1,20240514,1
140.24612.1,20240514,1
140.24610.1,20240515,1
140.24611.1,20240515,1
140.24612.1,20240515,1
140.24610.1,20240516,1
140.24611.1,20240516,1
140.24612.1,20240516,1
140.24610.1,20240517,1
140.24611.1,20240517,1
140.24612.1,20240517,1
140.24603.3,20240519,1
140.24604.3,20240519,1
140.0.80,20240520,1
140.0.1,20240520,2
140.24610.1,20240521,1
140.24611.1,20240521,1
140.24612.1,20240521,1
140.24610.1,20240522,1
140.24611.1,20240522,1
140.24612.1,20240522,1
140.24610.1,20240523,1
140.24611.1,20240523,1
140.24612.1,20240523,1
140.24610.1,20240524,1
140.24611.1,20240524,1
140.24612.1,20240524,1
140.24603.3,20240526,1
140.24610.1,20240527,1
140.24611.1,20240527,1
140.24612.1,20240527,1
140.24610.1,20240528,1
140.24611.1,20240528,1
140.24612.1,20240528,1
140.24610.1,20240529,1
140.24611.1,20240529,1
140.24612.1,20240529,1
140.24610.1,20240530,1
140.24611.1,20240530,1
140.24612.1,20240530,1
140.24610.1,20240531,1
140.24611.1,20240531,1
140.24612.1,20240531,1
140.24603.3,20240602,1
140.24610.1,20240603,1
140.24611.1,20240603,1
140.24612.1,20240603,1
140.24610.1,20240604,1
140.24611.1,20240604,1
140.24612.1,20240604,1
140.24610.1,20240605,1
140.24611.1,20240605,1
140.24612.1,20240605,1
140.24610.1,20240606,1
140.24611.1,20240606,1
140.24612.1,20240606,1
140.24610.1,20240607,1
140.24611.1,20240607,1
140.24612.1,20240607,1
140.24603.3,20240609,1
140.24610.1,20240610,1
140.24611.1,20240610,1
140.24612.1,20240610,1
140.24610.1,20240611,1
140.24611.1,20240611,1
140.24612.1,20240611,1
140.24610.1,20240612,1
140.24611.1,20240612,1
140.24612.1,20240612,1
140.24610.1,20240613,1
140.24611.1,20240613,1
140.24612.1,20240613,1
140.24610.1,20240614,1
140.24611.1,20240614,1
140.24612.1,20240614,1
140.24603.3,20240616,1
140.24610.1,20240617,1
140.24611.1,20240617,1
140.24612.1,20240617,1
140.24610.1,20240618,1
140.24611.1,20240618,1
140.24612.1,20240618,1
140.24610.1,20240619,1
140.24611.1,20240619,1
140.24612.1,20240619,1
140.24610.1,20240620,1
140.24611.1,20240620,1
140.24612.1,20240620,1
140.24610.1,20240621,1
140.24611.1,20240621,1
140.24612.1,20240621,1
140.24603.3,20240623,1
140.24604.3,20240623,1
140.24610.1,20240624,1
140.24611.1,20240624,1
140.24612.1,20240624,1
140.24610.1,20240625,1
140.24611.1,20240625,1
140.24612.1,20240625,1
140.24610.1,20240626,1
140.24611.1,20240626,1
140.24612.1,20240626,1
