route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
90,140.0.1,1783869,Richmond Green Secondary School - NB,,0,184648,77475,1,1
90,140.0.1,1783870,Richmond Green Secondary School - NB,,0,184641,77475,1,1
90,140.0.1,1783871,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783872,Richmond Green Secondary School - NB,,0,184639,77475,1,1
90,140.0.1,1783873,Richmond Green Secondary School - NB,,0,184638,77475,1,1
90,140.0.1,1783874,Richmond Green Secondary School - NB,,0,184637,77475,1,2
90,140.0.1,1783875,Richmond Green Secondary School - NB,,0,184647,77475,1,2
90,140.0.1,1783876,Richmond Green Secondary School - NB,,0,184646,77475,1,2
90,140.0.1,1783877,Richmond Green Secondary School - NB,,0,184648,77475,1,2
90,140.0.1,1783878,Richmond Green Secondary School - NB,,0,184641,77475,1,2
90,140.0.1,1783879,Richmond Green Secondary School - NB,,0,184640,77475,1,2
90,140.0.1,1783880,Richmond Green Secondary School - NB,,0,184639,77475,1,2
90,140.0.1,1783881,Richmond Green Secondary School - NB,,0,184638,77475,1,2
90,140.0.1,1783882,Richmond Green Secondary School - NB,,0,184637,77475,1,1
90,140.0.1,1783883,Richmond Green Secondary School - NB,,0,184647,77475,1,1
90,140.0.1,1783884,Richmond Green Secondary School - NB,,0,184646,77475,1,1
90,140.0.1,1783885,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783886,Richmond Green Secondary School - NB,,0,184638,77475,1,1
90,140.0.1,1783887,Richmond Green Secondary School - NB,,0,184646,77475,1,1
90,140.0.1,1783888,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783889,Richmond Green Secondary School - NB,,0,184638,77475,1,1
90,140.0.1,1783890,Richmond Green Secondary School - NB,,0,184646,77475,1,1
90,140.0.1,1783891,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783892,Richmond Green Secondary School - NB,,0,184638,77475,1,1
90,140.0.1,1783893,Richmond Green Secondary School - NB,,0,184693,77475,1,1
90,140.0.1,1783894,Richmond Green Secondary School - NB,,0,184645,77475,1,1
90,140.0.1,1783895,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783896,Richmond Green Secondary School - NB,,0,184644,77475,1,1
90,140.0.1,1783897,Richmond Green Secondary School - NB,,0,184643,77475,1,2
90,140.0.1,1783898,Richmond Green Secondary School - NB,,0,184638,77475,1,2
90,140.0.1,1783899,Richmond Green Secondary School - NB,,0,184642,77475,1,2
90,140.0.1,1783900,Richmond Green Secondary School - NB,,0,184693,77475,1,2
90,140.0.1,1783901,Richmond Green Secondary School - NB,,0,184645,77475,1,2
90,140.0.1,1783902,Richmond Green Secondary School - NB,,0,184640,77475,1,2
90,140.0.1,1783903,Richmond Green Secondary School - NB,,0,184644,77475,1,2
90,140.0.1,1783904,Richmond Green Secondary School - NB,,0,184643,77475,1,2
90,140.0.1,1783905,Richmond Green Secondary School - NB,,0,184721,77475,1,2
90,140.0.1,1783906,Richmond Green Secondary School - NB,,0,184642,77475,1,2
90,140.0.1,1783907,Richmond Green Secondary School - NB,,0,184693,77475,1,2
90,140.0.1,1783908,Richmond Green Secondary School - NB,,0,184645,77475,1,1
90,140.0.1,1783909,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783910,Richmond Green Secondary School - NB,,0,184644,77475,1,1
90,140.0.1,1783911,Richmond Green Secondary School - NB,,0,184643,77475,1,1
90,140.0.1,1783912,Richmond Green Secondary School - NB,,0,184721,77475,1,1
90,140.0.1,1783913,Richmond Green Secondary School - NB,,0,184642,77475,1,1
90,140.0.1,1783914,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783915,Richmond Green Secondary School - NB,,0,184721,77475,1,1
90,140.0.1,1783916,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783917,Richmond Green Secondary School - NB,,0,184721,77475,1,1
90,140.0.1,1783918,Richmond Green Secondary School - NB,,0,184640,77475,1,1
90,140.0.1,1783919,Richmond Green Secondary School - NB,,0,184721,77475,1,1
90,140.0.1,1783920,Richmond Green Secondary School - NB,,0,184641,77474,1,1
90,140.0.1,1783921,Richmond Green Secondary School - NB,,0,184640,77474,1,1
90,140.0.1,1783922,Richmond Green Secondary School - NB,,0,184639,77474,1,1
90,140.0.1,1783923,Richmond Green Secondary School - NB,,0,184638,77474,1,1
90,140.0.1,1783924,Richmond Green Secondary School - NB,,0,184637,77474,1,1
90,140.0.1,1783925,Richmond Green Secondary School - NB,,0,184646,77476,1,1
90,140.0.1,1783926,Don Mills Station - SB,,1,184648,77478,1,1
90,140.0.1,1783927,Don Mills Station - SB,,1,184646,77478,1,1
90,140.0.1,1783928,Don Mills Station - SB,,1,184647,77478,1,1
90,140.0.1,1783929,Don Mills Station - SB,,1,184637,77478,1,1
90,140.0.1,1783930,Don Mills Station - SB,,1,184638,77478,1,1
90,140.0.1,1783931,Don Mills Station - SB,,1,184639,77478,1,1
